Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework,Duration,total_duration,num_activities,unique_resources,concurrent_cases,time_proximity
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 19:24:00,2012-01-17 20:01:00,000:37,251,Spur Gear,ID4132,S,0,0,0,,37.0,4544.0,24,5,2,47375.069572875385
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 20:01:00,2012-01-17 23:43:00,003:42,251,Spur Gear,ID4132,D,17,0,0,,222.0,4544.0,24,5,9,47359.99097115173
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 23:49:00,2012-01-18 06:32:00,006:43,251,Spur Gear,ID4794,D,37,0,0,,403.0,4544.0,24,5,16,47203.35851134112
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 06:59:00,2012-01-18 07:24:00,000:25,251,Spur Gear,ID3846,D,4,0,0,,25.0,4544.0,24,5,11,46899.850066050196
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 16:33:00,2012-01-18 17:55:00,001:22,251,Spur Gear,ID4132,S,1,0,0,,82.0,4544.0,24,5,5,46516.79106120652
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 17:57:00,2012-01-18 20:04:00,002:07,251,Spur Gear,ID4132,D,3,0,0,,127.0,4544.0,24,5,7,46461.216424482605
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 20:10:00,2012-01-19 06:29:00,010:19,251,Spur Gear,ID4794,D,40,0,0,,619.0,4544.0,24,5,17,46383.62343096234
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 16:12:00,2012-01-19 18:09:00,001:57,251,Spur Gear,ID4132,S,1,0,0,,117.0,4544.0,24,5,13,45594.23645970938
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 18:10:00,2012-01-19 20:08:00,001:58,251,Spur Gear,ID4132,D,8,0,0,,118.0,4544.0,24,5,9,45519.432408630564
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 20:09:00,2012-01-20 05:10:00,009:01,251,Spur Gear,ID4794,D,40,0,0,,541.0,4544.0,24,5,12,45444.14200792602
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 02:42:00,2012-01-22 06:34:00,003:52,251,Spur Gear,ID4641,D,17,0,0,,232.0,4544.0,24,5,7,43403.38837516513
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 07:00:00,2012-01-22 07:13:00,000:13,251,Spur Gear,ID3846,D,3,0,0,,13.0,4544.0,24,5,10,43282.85896870868
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 09:02:00,2012-01-22 17:47:00,008:45,251,Spur Gear,ID3846,D,79,0,0,,525.0,4544.0,24,5,36,43179.87910151949
Case 10,Turning Q.C.,Quality Check 1,2012-01-23 07:54:00,2012-01-23 10:26:00,002:32,251,Spur Gear,ID4618,D,251,0,0,,152.0,4544.0,24,5,17,42355.80405107882
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 09:31:00,2012-01-25 10:57:00,001:26,251,Spur Gear,ID4794,D,40,0,0,,86.0,4544.0,24,5,12,40712.54843681198
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 11:00:00,2012-01-25 12:54:00,001:54,251,Spur Gear,ID4882,D,160,0,0,,114.0,4544.0,24,5,20,40666.11492734479
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 13:22:00,2012-01-25 14:09:00,000:47,251,Spur Gear,ID4882,D,51,0,0,,47.0,4544.0,24,5,13,40601.3906628496
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-27 10:30:00,2012-01-27 13:00:00,002:30,251,Spur Gear,ID0998,D,100,0,0,,150.0,4544.0,24,5,14,39249.92250110084
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-29 08:09:00,2012-01-29 15:06:00,006:57,251,Spur Gear,ID0998,D,100,0,0,,417.0,4544.0,24,5,37,37969.25368861484
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-30 15:19:00,2012-01-30 16:59:00,001:40,251,Spur Gear,ID0998,D,51,0,0,,100.0,4544.0,24,5,20,37141.85579040071
Case 10,Final Inspection Q.C.,Quality Check 1,2012-02-02 12:38:00,2012-02-02 14:16:00,001:38,251,Spur Gear,ID4618,D,250,1,0,,98.0,4544.0,24,5,17,35563.73227653016
Case 10,Packing,Packing,2012-02-03 00:00:00,2012-02-03 01:00:00,000:00,251,Spur Gear,ID4820,D,250,0,0,,60.0,4544.0,24,5,9,35361.2544613351
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20 17:09:00,2012-02-20 17:57:00,000:48,18,Ballnut,ID4219,D,7,0,0,,48.0,1261.0,14,8,11,31615.364376926464
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20 22:57:00,2012-02-21 02:57:00,004:00,18,Ballnut,ID4529,D,11,0,0,,240.0,1261.0,14,8,28,31638.296125055043
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21 06:45:00,2012-02-21 11:03:00,004:18,18,Ballnut,ID4219,S,1,0,0,,258.0,1261.0,14,8,28,31674.06671070013
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21 11:04:00,2012-02-21 12:08:00,001:04,18,Ballnut,ID4219,D,17,0,0,,64.0,1261.0,14,8,18,31696.163364156757
Case 100,Turning & Milling Q.C.,Quality Check 1,2012-02-22 14:48:00,2012-02-22 15:10:00,000:22,18,Ballnut,ID4618,D,18,0,0,,22.0,1261.0,14,8,16,31883.51112089848
Case 100,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-11 11:05:00,2012-03-11 11:06:00,000:01,18,Ballnut,ID0998,D,18,0,0,,1.0,1261.0,14,8,10,40239.29788639366
Case 100,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-11 12:23:00,2012-03-11 12:45:00,000:22,18,Ballnut,ID0998,D,18,0,0,,22.0,1261.0,14,8,11,40278.90158520475
Case 100,Lapping - Machine 1,Machine 1 - Lapping,2012-03-11 12:46:00,2012-03-11 13:18:00,000:32,18,Ballnut,ID4882,D,18,0,0,,32.0,1261.0,14,8,11,40290.62439453985
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13 10:34:00,2012-03-13 10:41:00,000:07,18,Ballnut,ID4445,S,0,0,0,,7.0,1261.0,14,8,13,41767.89608102157
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13 10:41:00,2012-03-13 15:12:00,004:31,18,Ballnut,ID4445,D,18,0,0,,271.0,1261.0,14,8,24,41771.89233817701
Case 100,Grinding Rework - Machine 12,Machine 12 - Grinding,2012-03-16 11:30:00,2012-03-16 12:40:00,001:10,18,Ballnut,ID4872,D,0,0,0,,70.0,1261.0,14,8,17,44469.703214442976
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-19 11:21:00,2012-03-19 14:06:00,002:45,18,Ballnut,ID4618,D,0,0,0,,165.0,1261.0,14,8,21,47370.80118890356
Case 100,Packing,Packing,2012-03-21 00:00:00,2012-03-21 01:00:00,000:00,18,Ballnut,ID4820,D,18,0,0,,60.0,1261.0,14,8,17,49070.63459841129
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-21 07:02:00,2012-03-21 07:03:00,000:01,18,Ballnut,ID4618,D,18,0,0,,1.0,1261.0,14,8,5,49280.070893879354
Case 101,Setup - Machine 8,Machine 8 - Turning & Milling,2012-03-13 18:47:00,2012-03-13 20:03:00,001:16,27,Housing,ID4219,S,0,0,0,,76.0,2210.0,17,7,7,42051.93284896521
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 20:38:00,2012-03-13 23:03:00,002:25,27,Housing,ID4219,S,0,0,0,,145.0,2210.0,17,7,7,42116.666666666664
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 23:04:00,2012-03-13 23:49:00,000:45,27,Housing,ID4219,B,0,0,0,,45.0,2210.0,17,7,6,42202.05239982387
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 23:50:00,2012-03-14 01:06:00,001:16,27,Housing,ID4219,D,7,0,0,,76.0,2210.0,17,7,16,42228.98194627917
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 01:06:00,2012-03-14 06:28:00,005:22,27,Housing,ID4794,D,17,0,0,,322.0,2210.0,17,7,13,42273.84984588287
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 07:02:00,2012-03-14 07:48:00,000:46,27,Housing,ID0997,D,3,0,0,,46.0,2210.0,17,7,10,42493.96652719666
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 07:49:00,2012-03-14 11:10:00,003:21,27,Housing,ID0997,S,0,0,0,,201.0,2210.0,17,7,20,42512.65940114487
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 11:11:00,2012-03-14 13:30:00,002:19,27,Housing,ID0997,D,27,0,0,,139.0,2210.0,17,7,22,42643.19467077737
Case 101,Turning & Milling Q.C.,Quality Check 1,2012-03-14 13:33:00,2012-03-14 14:48:00,000:00,27,Housing,ID4618,D,27,0,0,,75.0,2210.0,17,7,17,42719.86767943637
Case 101,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-15 09:55:00,2012-03-15 10:55:00,001:00,27,Housing,ID0998,D,27,0,0,,60.0,2210.0,17,7,11,43478.43086745927
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-23 11:00:00,2012-03-23 12:40:00,001:40,27,Housing,ID0998,D,21,0,0,,100.0,2210.0,17,7,14,51742.97666226332
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24 22:15:00,2012-03-24 23:45:00,001:30,27,Housing,ID4528,S,0,0,0,,90.0,2210.0,17,7,6,53478.588947600176
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24 23:45:00,2012-03-25 06:45:00,007:00,27,Housing,ID4528,D,17,0,0,,420.0,2210.0,17,7,10,53576.35616740088
Case 101,Final Inspection Q.C.,Quality Check 1,2012-03-25 06:50:00,2012-03-25 11:31:00,004:41,27,Housing,ID4618,D,17,0,0,,281.0,2210.0,17,7,22,53904.38221047996
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-25 10:00:00,2012-03-25 11:00:00,001:00,27,Housing,ID0998,D,6,0,0,,60.0,2210.0,17,7,16,54074.24840343536
Case 101,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-25 11:15:00,2012-03-25 11:29:00,000:14,27,Housing,ID0998,D,17,0,0,,14.0,2210.0,17,7,12,54125.031043593124
Case 101,Packing,Packing,2012-03-26 00:00:00,2012-03-26 01:00:00,000:00,27,Housing,ID4820,D,17,0,0,,60.0,2210.0,17,7,14,54854.898346196256
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27 16:40:00,2012-02-27 21:09:00,004:29,24,Spur Gear,ID4219,S,0,0,0,,269.0,3330.0,30,7,13,33201.735799207396
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27 21:46:00,2012-02-28 01:23:00,003:37,24,Spur Gear,ID4219,S,0,0,0,,217.0,3330.0,30,7,18,33274.4570673712
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 11:00:00,2012-02-28 13:26:00,002:26,24,Spur Gear,ID0997,S,0,0,0,,146.0,3330.0,30,7,21,33469.666666666664
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 14:20:00,2012-02-28 16:12:00,001:52,24,Spur Gear,ID0997,S,0,0,0,,112.0,3330.0,30,7,25,33520.99735799208
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-28 14:35:00,2012-02-28 15:25:00,000:50,24,Spur Gear,ID4287,D,0,0,0,,50.0,3330.0,30,7,14,33524.89938353148
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 16:12:00,2012-02-28 17:56:00,001:44,24,Spur Gear,ID0997,D,3,0,0,,104.0,3330.0,30,7,20,33550.29766622633
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 21:28:00,2012-02-29 01:29:00,004:01,24,Spur Gear,ID4219,D,9,0,0,,241.0,3330.0,30,7,28,33635.38309114928
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 01:30:00,2012-02-29 04:31:00,003:01,24,Spur Gear,ID4794,D,7,0,0,,181.0,3330.0,30,7,9,33701.81021576398
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 07:32:00,2012-02-29 11:05:00,003:33,24,Spur Gear,ID0997,D,5,0,0,,213.0,3330.0,30,7,26,33803.70277410832
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 11:05:00,2012-02-29 16:00:00,004:55,24,Spur Gear,ID0997,S,1,0,0,,295.0,3330.0,30,7,30,33880.309030837
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29 15:00:00,2012-02-29 16:00:00,001:00,24,Spur Gear,ID4287,D,24,0,0,,60.0,3330.0,30,7,16,33957.528750826175
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 16:00:00,2012-02-29 17:20:00,001:20,24,Spur Gear,ID0997,S,0,0,0,,80.0,3330.0,30,7,11,33960.72208764589
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29 16:04:00,2012-02-29 16:36:00,000:32,24,Spur Gear,ID4287,D,0,0,0,,32.0,3330.0,30,7,9,33961.93261396168
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 17:19:00,2012-02-29 17:48:00,000:29,24,Spur Gear,ID0997,D,8,0,0,,29.0,3330.0,30,7,6,33977.30096873624
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 22:27:00,2012-03-01 00:11:00,001:44,24,Spur Gear,ID4219,D,15,0,0,,104.0,3330.0,30,7,14,34072.251651254956
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-01 09:30:00,2012-03-01 10:49:00,001:19,24,Spur Gear,ID4287,D,0,1,0,,79.0,3330.0,30,7,12,34282.75033025099
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-06 00:00:00,2012-03-06 01:15:00,000:00,24,Spur Gear,ID4287,D,23,0,0,,75.0,3330.0,30,7,16,36651.24029982363
Case 102,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-08 13:32:00,2012-03-08 14:41:00,001:09,24,Spur Gear,ID0998,D,23,0,0,,69.0,3330.0,30,7,13,38203.49922924466
Case 102,Lapping - Machine 1,Machine 1 - Lapping,2012-03-09 00:00:00,2012-03-09 01:15:00,000:00,24,Spur Gear,ID4882,D,0,0,0,,75.0,3330.0,30,7,9,38527.39620978405
Case 102,Lapping - Machine 1,Machine 1 - Lapping,2012-03-11 09:38:00,2012-03-11 11:04:00,001:26,24,Spur Gear,ID0998,D,23,0,0,,86.0,3330.0,30,7,12,40195.32892998679
Case 102,Round Grinding - Manual,Machine 27 - Grinding,2012-03-11 19:25:00,2012-03-11 20:00:00,000:35,24,Spur Gear,ID4528,S,0,0,0,,35.0,3330.0,30,7,7,40495.55548216645
Case 102,Round Grinding - Manual,Machine 27 - Grinding,2012-03-11 20:00:00,2012-03-11 23:40:00,003:40,24,Spur Gear,ID4528,D,23,0,0,,220.0,3330.0,30,7,11,40522.552961902664
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 07:03:00,2012-03-12 08:09:00,001:06,24,Spur Gear,ID4445,S,0,0,0,,66.0,3330.0,30,7,13,40869.06584452764
Case 102,Round Grinding - Q.C.,Quality Check 1,2012-03-12 07:50:00,2012-03-12 08:09:00,000:19,24,Spur Gear,ID4287,D,5,0,0,,19.0,3330.0,30,7,12,40893.8275710196
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 08:02:00,2012-03-12 08:04:00,000:02,24,Spur Gear,ID4445,S,0,0,0,,2.0,3330.0,30,7,10,40891.18009687363
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 08:10:00,2012-03-12 10:58:00,002:48,24,Spur Gear,ID4445,D,23,0,0,,168.0,3330.0,30,7,19,40895.420079260235
Case 102,Round Grinding - Q.C.,Quality Check 1,2012-03-12 10:00:00,2012-03-12 10:57:00,000:57,24,Spur Gear,ID4287,D,18,0,0,,57.0,3330.0,30,7,11,40954.123734037865
Case 102,Final Inspection Q.C.,Quality Check 1,2012-03-12 14:00:00,2012-03-12 17:00:00,003:00,24,Spur Gear,ID4287,D,0,0,0,,180.0,3330.0,30,7,17,41083.494936151474
Case 102,Final Inspection Q.C.,Quality Check 1,2012-03-13 08:00:00,2012-03-13 08:06:00,000:06,24,Spur Gear,ID4287,D,23,0,0,,6.0,3330.0,30,7,10,41680.584764420964
Case 102,Packing,Packing,2012-03-14 00:00:00,2012-03-14 01:00:00,000:00,24,Spur Gear,ID4820,D,23,0,0,,60.0,3330.0,30,7,16,42328.03309796999
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-06 09:10:00,2012-03-06 10:18:00,001:08,52,Adjusting Nut,ID4219,B,0,0,0,,68.0,2815.0,19,5,15,36821.73976221929
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 04:19:00,2012-03-08 06:51:00,002:32,52,Adjusting Nut,ID0997,S,0,0,0,,152.0,2815.0,19,5,8,37947.86897159216
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 10:04:00,2012-03-08 16:38:00,006:34,52,Adjusting Nut,ID4219,S,0,0,0,,394.0,2815.0,19,5,33,38097.92206076618
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 20:24:00,2012-03-09 04:35:00,008:11,52,Adjusting Nut,ID0997,S,0,0,0,,491.0,2815.0,19,5,19,38390.24790841039
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09 04:35:00,2012-03-09 07:27:00,002:52,52,Adjusting Nut,ID0997,D,14,0,0,,172.0,2815.0,19,5,11,38626.02179656539
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-09 07:32:00,2012-03-09 10:38:00,002:55,52,Adjusting Nut,ID4618,D,0,0,0,,186.0,2815.0,19,5,12,38720.06782646994
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09 07:32:00,2012-03-09 10:27:00,003:06,52,Adjusting Nut,ID4219,D,8,0,0,,175.0,2815.0,19,5,12,38720.06782646994
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-11 07:42:00,2012-03-11 08:16:00,000:34,52,Adjusting Nut,ID4618,D,0,0,0,,34.0,2815.0,19,5,13,40136.96345222369
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 09:03:00,2012-03-11 10:37:00,001:34,52,Adjusting Nut,ID0997,D,0,0,0,,94.0,2815.0,19,5,15,40177.674812857775
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 10:37:00,2012-03-11 11:48:00,001:11,52,Adjusting Nut,ID0997,S,0,0,0,,71.0,2815.0,19,5,16,40225.13716424482
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 11:49:00,2012-03-11 16:09:00,004:20,52,Adjusting Nut,ID0997,D,25,0,0,,260.0,2815.0,19,5,22,40270.40277471922
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 16:35:00,2012-03-11 18:35:00,002:00,52,Adjusting Nut,ID4219,D,5,0,0,,120.0,2815.0,19,5,11,40407.783575517395
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-12 08:27:00,2012-03-12 08:28:00,000:01,52,Adjusting Nut,ID4618,D,50,2,0,,1.0,2815.0,19,5,13,40904.4700572435
Case 103,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-13 09:54:00,2012-03-13 10:46:00,000:52,52,Adjusting Nut,ID4355,D,50,0,0,,52.0,2815.0,19,5,16,41745.11492734479
Case 103,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-13 13:27:00,2012-03-13 14:04:00,000:37,52,Adjusting Nut,ID0998,D,50,0,0,,37.0,2815.0,19,5,16,41866.8192426244
Case 103,Final Inspection Q.C.,Quality Check 1,2012-03-13 14:07:00,2012-03-13 17:57:00,003:50,52,Adjusting Nut,ID4618,D,0,0,0,,230.0,2815.0,19,5,31,41889.7487890797
Case 103,Final Inspection Q.C.,Quality Check 1,2012-03-14 06:58:00,2012-03-14 10:35:00,003:37,52,Adjusting Nut,ID4618,D,0,0,0,,217.0,2815.0,19,5,19,42491.58643470601
Case 103,Final Inspection Q.C.,Quality Check 1,2012-03-14 12:03:00,2012-03-14 12:04:00,000:01,52,Adjusting Nut,ID4618,D,50,0,0,,1.0,2815.0,19,5,16,42674.64148865888
Case 103,Packing,Packing,2012-03-15 00:00:00,2012-03-15 01:00:00,000:00,52,Adjusting Nut,ID4820,D,50,0,0,,60.0,2815.0,19,5,14,43153.28454926163
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-19 20:43:00,2012-03-20 02:26:00,005:43,33,Cable Head,ID4529,S,1,0,0,,343.0,1038.0,6,3,15,47769.08168207838
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-20 02:27:00,2012-03-20 06:41:00,004:14,33,Cable Head,ID4529,D,19,0,0,,254.0,1038.0,6,3,3,48015.029282254516
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,2012-03-20 07:00:00,2012-03-20 11:07:00,004:07,33,Cable Head,ID4429,D,13,0,0,,247.0,1038.0,6,3,28,48232.26035242291
Case 104,Turning & Milling Q.C.,Quality Check 1,2012-03-20 09:54:00,2012-03-20 11:54:00,002:00,33,Cable Head,ID4493,D,0,0,0,,120.0,1038.0,6,3,23,48336.98899163364
Case 104,Turning & Milling Q.C.,Quality Check 1,2012-03-21 06:55:00,2012-03-21 07:41:00,000:46,33,Cable Head,ID4493,D,33,0,0,,46.0,1038.0,6,3,11,49274.7892998679
Case 104,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-21 09:21:00,2012-03-21 09:49:00,000:28,33,Cable Head,ID4718,D,33,0,0,,28.0,1038.0,6,3,12,49385.46521356231
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-20 23:18:00,2012-03-21 06:34:00,007:16,15,Bearing,ID4167,S,0,0,0,,436.0,629.0,2,1,22,48931.24174372523
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2012-03-21 07:18:00,2012-03-21 10:31:00,003:13,15,Bearing,ID4932,D,15,0,0,,193.0,629.0,2,1,20,49292.1620431528
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-15 10:14:00,2012-03-15 15:44:00,005:30,39,Ballnut,ID0997,S,0,0,0,,330.0,977.0,8,5,24,43490.47908410392
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-15 16:55:00,2012-03-15 20:38:00,003:43,39,Ballnut,ID4219,D,39,0,0,,223.0,977.0,8,5,8,43746.71268163805
