Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Work Order Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework,Completion Time (minutes),case:concept:name,concept:name,time:timestamp
Case 10,Final Inspection Q.C.,Quality Check 1,2012-02-02 12:38:00+00:00,2012-02-02 14:16:00+00:00,251,Spur Gear,ID4618,D,250,1,0,0,98.0,Case 10,Final Inspection Q.C.,2012-02-02 12:38:00+00:00
Case 10,Packing,Packing,2012-02-03 00:00:00+00:00,2012-02-03 01:00:00+00:00,251,Spur Gear,ID4820,D,250,0,0,0,60.0,Case 10,Packing,2012-02-03 00:00:00+00:00
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20 17:09:00+00:00,2012-02-20 17:57:00+00:00,18,Ballnut,ID4219,D,7,0,0,0,48.0,Case 100,Turning & Milling - Machine 8,2012-02-20 17:09:00+00:00
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20 22:57:00+00:00,2012-02-21 02:57:00+00:00,18,Ballnut,ID4529,D,11,0,0,0,240.0,Case 100,Turning & Milling - Machine 8,2012-02-20 22:57:00+00:00
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21 06:45:00+00:00,2012-02-21 11:03:00+00:00,18,Ballnut,ID4219,S,1,0,0,0,258.0,Case 100,Turning & Milling - Machine 8,2012-02-21 06:45:00+00:00
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21 11:04:00+00:00,2012-02-21 12:08:00+00:00,18,Ballnut,ID4219,D,17,0,0,0,64.0,Case 100,Turning & Milling - Machine 8,2012-02-21 11:04:00+00:00
Case 100,Turning & Milling Q.C.,Quality Check 1,2012-02-22 14:48:00+00:00,2012-02-22 15:10:00+00:00,18,Ballnut,ID4618,D,18,0,0,0,22.0,Case 100,Turning & Milling Q.C.,2012-02-22 14:48:00+00:00
Case 100,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-11 11:05:00+00:00,2012-03-11 11:06:00+00:00,18,Ballnut,ID0998,D,18,0,0,0,1.0,Case 100,Laser Marking - Machine 7,2012-03-11 11:05:00+00:00
Case 100,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-11 12:23:00+00:00,2012-03-11 12:45:00+00:00,18,Ballnut,ID0998,D,18,0,0,0,22.0,Case 100,Flat Grinding - Machine 11,2012-03-11 12:23:00+00:00
Case 100,Lapping - Machine 1,Machine 1 - Lapping,2012-03-11 12:46:00+00:00,2012-03-11 13:18:00+00:00,18,Ballnut,ID4882,D,18,0,0,0,32.0,Case 100,Lapping - Machine 1,2012-03-11 12:46:00+00:00
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13 10:34:00+00:00,2012-03-13 10:41:00+00:00,18,Ballnut,ID4445,S,0,0,0,0,7.0,Case 100,Round Grinding - Machine 3,2012-03-13 10:34:00+00:00
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13 10:41:00+00:00,2012-03-13 15:12:00+00:00,18,Ballnut,ID4445,D,18,0,0,0,271.0,Case 100,Round Grinding - Machine 3,2012-03-13 10:41:00+00:00
Case 100,Grinding Rework - Machine 12,Machine 12 - Grinding,2012-03-16 11:30:00+00:00,2012-03-16 12:40:00+00:00,18,Ballnut,ID4872,D,0,0,0,0,70.0,Case 100,Grinding Rework - Machine 12,2012-03-16 11:30:00+00:00
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-19 11:21:00+00:00,2012-03-19 14:06:00+00:00,18,Ballnut,ID4618,D,0,0,0,0,165.0,Case 100,Final Inspection Q.C.,2012-03-19 11:21:00+00:00
Case 100,Packing,Packing,2012-03-21 00:00:00+00:00,2012-03-21 01:00:00+00:00,18,Ballnut,ID4820,D,18,0,0,0,60.0,Case 100,Packing,2012-03-21 00:00:00+00:00
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-21 07:02:00+00:00,2012-03-21 07:03:00+00:00,18,Ballnut,ID4618,D,18,0,0,0,1.0,Case 100,Final Inspection Q.C.,2012-03-21 07:02:00+00:00
Case 101,Setup - Machine 8,Machine 8 - Turning & Milling,2012-03-13 18:47:00+00:00,2012-03-13 20:03:00+00:00,27,Housing,ID4219,S,0,0,0,0,76.0,Case 101,Setup - Machine 8,2012-03-13 18:47:00+00:00
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 20:38:00+00:00,2012-03-13 23:03:00+00:00,27,Housing,ID4219,S,0,0,0,0,145.0,Case 101,Turning & Milling - Machine 8,2012-03-13 20:38:00+00:00
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 23:04:00+00:00,2012-03-13 23:49:00+00:00,27,Housing,ID4219,B,0,0,0,0,45.0,Case 101,Turning & Milling - Machine 8,2012-03-13 23:04:00+00:00
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 23:50:00+00:00,2012-03-14 01:06:00+00:00,27,Housing,ID4219,D,7,0,0,0,76.0,Case 101,Turning & Milling - Machine 8,2012-03-13 23:50:00+00:00
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 01:06:00+00:00,2012-03-14 06:28:00+00:00,27,Housing,ID4794,D,17,0,0,0,322.0,Case 101,Turning & Milling - Machine 8,2012-03-14 01:06:00+00:00
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 07:02:00+00:00,2012-03-14 07:48:00+00:00,27,Housing,ID0997,D,3,0,0,0,46.0,Case 101,Turning & Milling - Machine 8,2012-03-14 07:02:00+00:00
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 07:49:00+00:00,2012-03-14 11:10:00+00:00,27,Housing,ID0997,S,0,0,0,0,201.0,Case 101,Turning & Milling - Machine 8,2012-03-14 07:49:00+00:00
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 11:11:00+00:00,2012-03-14 13:30:00+00:00,27,Housing,ID0997,D,27,0,0,0,139.0,Case 101,Turning & Milling - Machine 8,2012-03-14 11:11:00+00:00
Case 101,Turning & Milling Q.C.,Quality Check 1,2012-03-14 13:33:00+00:00,2012-03-14 14:48:00+00:00,27,Housing,ID4618,D,27,0,0,0,75.0,Case 101,Turning & Milling Q.C.,2012-03-14 13:33:00+00:00
Case 101,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-15 09:55:00+00:00,2012-03-15 10:55:00+00:00,27,Housing,ID0998,D,27,0,0,0,60.0,Case 101,Flat Grinding - Machine 11,2012-03-15 09:55:00+00:00
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-23 11:00:00+00:00,2012-03-23 12:40:00+00:00,27,Housing,ID0998,D,21,0,0,0,100.0,Case 101,Lapping - Machine 1,2012-03-23 11:00:00+00:00
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24 22:15:00+00:00,2012-03-24 23:45:00+00:00,27,Housing,ID4528,S,0,0,0,0,90.0,Case 101,Round Grinding - Machine 12,2012-03-24 22:15:00+00:00
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24 23:45:00+00:00,2012-03-25 06:45:00+00:00,27,Housing,ID4528,D,17,0,0,0,420.0,Case 101,Round Grinding - Machine 12,2012-03-24 23:45:00+00:00
Case 101,Final Inspection Q.C.,Quality Check 1,2012-03-25 06:50:00+00:00,2012-03-25 11:31:00+00:00,27,Housing,ID4618,D,17,0,0,0,281.0,Case 101,Final Inspection Q.C.,2012-03-25 06:50:00+00:00
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-25 10:00:00+00:00,2012-03-25 11:00:00+00:00,27,Housing,ID0998,D,6,0,0,0,60.0,Case 101,Lapping - Machine 1,2012-03-25 10:00:00+00:00
Case 101,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-25 11:15:00+00:00,2012-03-25 11:29:00+00:00,27,Housing,ID0998,D,17,0,0,0,14.0,Case 101,Laser Marking - Machine 7,2012-03-25 11:15:00+00:00
Case 101,Packing,Packing,2012-03-26 00:00:00+00:00,2012-03-26 01:00:00+00:00,27,Housing,ID4820,D,17,0,0,0,60.0,Case 101,Packing,2012-03-26 00:00:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27 16:40:00+00:00,2012-02-27 21:09:00+00:00,24,Spur Gear,ID4219,S,0,0,0,0,269.0,Case 102,Turning & Milling - Machine 8,2012-02-27 16:40:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27 21:46:00+00:00,2012-02-28 01:23:00+00:00,24,Spur Gear,ID4219,S,0,0,0,0,217.0,Case 102,Turning & Milling - Machine 8,2012-02-27 21:46:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 11:00:00+00:00,2012-02-28 13:26:00+00:00,24,Spur Gear,ID0997,S,0,0,0,0,146.0,Case 102,Turning & Milling - Machine 8,2012-02-28 11:00:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 14:20:00+00:00,2012-02-28 16:12:00+00:00,24,Spur Gear,ID0997,S,0,0,0,0,112.0,Case 102,Turning & Milling - Machine 8,2012-02-28 14:20:00+00:00
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-28 14:35:00+00:00,2012-02-28 15:25:00+00:00,24,Spur Gear,ID4287,D,0,0,0,0,50.0,Case 102,Turning & Milling Q.C.,2012-02-28 14:35:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 16:12:00+00:00,2012-02-28 17:56:00+00:00,24,Spur Gear,ID0997,D,3,0,0,0,104.0,Case 102,Turning & Milling - Machine 8,2012-02-28 16:12:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 21:28:00+00:00,2012-02-29 01:29:00+00:00,24,Spur Gear,ID4219,D,9,0,0,0,241.0,Case 102,Turning & Milling - Machine 8,2012-02-28 21:28:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 01:30:00+00:00,2012-02-29 04:31:00+00:00,24,Spur Gear,ID4794,D,7,0,0,0,181.0,Case 102,Turning & Milling - Machine 8,2012-02-29 01:30:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 07:32:00+00:00,2012-02-29 11:05:00+00:00,24,Spur Gear,ID0997,D,5,0,0,0,213.0,Case 102,Turning & Milling - Machine 8,2012-02-29 07:32:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 11:05:00+00:00,2012-02-29 16:00:00+00:00,24,Spur Gear,ID0997,S,1,0,0,0,295.0,Case 102,Turning & Milling - Machine 8,2012-02-29 11:05:00+00:00
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29 15:00:00+00:00,2012-02-29 16:00:00+00:00,24,Spur Gear,ID4287,D,24,0,0,0,60.0,Case 102,Turning & Milling Q.C.,2012-02-29 15:00:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 16:00:00+00:00,2012-02-29 17:20:00+00:00,24,Spur Gear,ID0997,S,0,0,0,0,80.0,Case 102,Turning & Milling - Machine 8,2012-02-29 16:00:00+00:00
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29 16:04:00+00:00,2012-02-29 16:36:00+00:00,24,Spur Gear,ID4287,D,0,0,0,0,32.0,Case 102,Turning & Milling Q.C.,2012-02-29 16:04:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 17:19:00+00:00,2012-02-29 17:48:00+00:00,24,Spur Gear,ID0997,D,8,0,0,0,29.0,Case 102,Turning & Milling - Machine 8,2012-02-29 17:19:00+00:00
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 22:27:00+00:00,2012-03-01 00:11:00+00:00,24,Spur Gear,ID4219,D,15,0,0,0,104.0,Case 102,Turning & Milling - Machine 8,2012-02-29 22:27:00+00:00
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-01 09:30:00+00:00,2012-03-01 10:49:00+00:00,24,Spur Gear,ID4287,D,0,1,0,0,79.0,Case 102,Turning & Milling Q.C.,2012-03-01 09:30:00+00:00
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-06 00:00:00+00:00,2012-03-06 01:15:00+00:00,24,Spur Gear,ID4287,D,23,0,0,0,75.0,Case 102,Turning & Milling Q.C.,2012-03-06 00:00:00+00:00
Case 102,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-08 13:32:00+00:00,2012-03-08 14:41:00+00:00,24,Spur Gear,ID0998,D,23,0,0,0,69.0,Case 102,Laser Marking - Machine 7,2012-03-08 13:32:00+00:00
Case 102,Lapping - Machine 1,Machine 1 - Lapping,2012-03-09 00:00:00+00:00,2012-03-09 01:15:00+00:00,24,Spur Gear,ID4882,D,0,0,0,0,75.0,Case 102,Lapping - Machine 1,2012-03-09 00:00:00+00:00
Case 102,Lapping - Machine 1,Machine 1 - Lapping,2012-03-11 09:38:00+00:00,2012-03-11 11:04:00+00:00,24,Spur Gear,ID0998,D,23,0,0,0,86.0,Case 102,Lapping - Machine 1,2012-03-11 09:38:00+00:00
Case 102,Round Grinding - Manual,Machine 27 - Grinding,2012-03-11 19:25:00+00:00,2012-03-11 20:00:00+00:00,24,Spur Gear,ID4528,S,0,0,0,0,35.0,Case 102,Round Grinding - Manual,2012-03-11 19:25:00+00:00
Case 102,Round Grinding - Manual,Machine 27 - Grinding,2012-03-11 20:00:00+00:00,2012-03-11 23:40:00+00:00,24,Spur Gear,ID4528,D,23,0,0,0,220.0,Case 102,Round Grinding - Manual,2012-03-11 20:00:00+00:00
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 07:03:00+00:00,2012-03-12 08:09:00+00:00,24,Spur Gear,ID4445,S,0,0,0,0,66.0,Case 102,Round Grinding - Machine 3,2012-03-12 07:03:00+00:00
Case 102,Round Grinding - Q.C.,Quality Check 1,2012-03-12 07:50:00+00:00,2012-03-12 08:09:00+00:00,24,Spur Gear,ID4287,D,5,0,0,0,19.0,Case 102,Round Grinding - Q.C.,2012-03-12 07:50:00+00:00
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 08:02:00+00:00,2012-03-12 08:04:00+00:00,24,Spur Gear,ID4445,S,0,0,0,0,2.0,Case 102,Round Grinding - Machine 3,2012-03-12 08:02:00+00:00
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 08:10:00+00:00,2012-03-12 10:58:00+00:00,24,Spur Gear,ID4445,D,23,0,0,0,168.0,Case 102,Round Grinding - Machine 3,2012-03-12 08:10:00+00:00
Case 102,Round Grinding - Q.C.,Quality Check 1,2012-03-12 10:00:00+00:00,2012-03-12 10:57:00+00:00,24,Spur Gear,ID4287,D,18,0,0,0,57.0,Case 102,Round Grinding - Q.C.,2012-03-12 10:00:00+00:00
Case 102,Final Inspection Q.C.,Quality Check 1,2012-03-12 14:00:00+00:00,2012-03-12 17:00:00+00:00,24,Spur Gear,ID4287,D,0,0,0,0,180.0,Case 102,Final Inspection Q.C.,2012-03-12 14:00:00+00:00
Case 102,Final Inspection Q.C.,Quality Check 1,2012-03-13 08:00:00+00:00,2012-03-13 08:06:00+00:00,24,Spur Gear,ID4287,D,23,0,0,0,6.0,Case 102,Final Inspection Q.C.,2012-03-13 08:00:00+00:00
Case 102,Packing,Packing,2012-03-14 00:00:00+00:00,2012-03-14 01:00:00+00:00,24,Spur Gear,ID4820,D,23,0,0,0,60.0,Case 102,Packing,2012-03-14 00:00:00+00:00
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-06 09:10:00+00:00,2012-03-06 10:18:00+00:00,52,Adjusting Nut,ID4219,B,0,0,0,0,68.0,Case 103,Turning & Milling - Machine 8,2012-03-06 09:10:00+00:00
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 04:19:00+00:00,2012-03-08 06:51:00+00:00,52,Adjusting Nut,ID0997,S,0,0,0,0,152.0,Case 103,Turning & Milling - Machine 8,2012-03-08 04:19:00+00:00
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 10:04:00+00:00,2012-03-08 16:38:00+00:00,52,Adjusting Nut,ID4219,S,0,0,0,0,394.0,Case 103,Turning & Milling - Machine 8,2012-03-08 10:04:00+00:00
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 20:24:00+00:00,2012-03-09 04:35:00+00:00,52,Adjusting Nut,ID0997,S,0,0,0,0,491.0,Case 103,Turning & Milling - Machine 8,2012-03-08 20:24:00+00:00
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09 04:35:00+00:00,2012-03-09 07:27:00+00:00,52,Adjusting Nut,ID0997,D,14,0,0,0,172.0,Case 103,Turning & Milling - Machine 8,2012-03-09 04:35:00+00:00
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-09 07:32:00+00:00,2012-03-09 10:38:00+00:00,52,Adjusting Nut,ID4618,D,0,0,0,0,186.0,Case 103,Turning & Milling Q.C.,2012-03-09 07:32:00+00:00
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09 07:32:00+00:00,2012-03-09 10:27:00+00:00,52,Adjusting Nut,ID4219,D,8,0,0,0,175.0,Case 103,Turning & Milling - Machine 8,2012-03-09 07:32:00+00:00
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-11 07:42:00+00:00,2012-03-11 08:16:00+00:00,52,Adjusting Nut,ID4618,D,0,0,0,0,34.0,Case 103,Turning & Milling Q.C.,2012-03-11 07:42:00+00:00
