case:concept:name,concept:name,Resource,time:timestamp,Complete Timestamp,case:Work Order Qty,case:Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework,Event Start Hour,Event Start Day,Event Start Month,Event Start Day of Week,Time Gap Between Events,Cumulative Qty Completed,Cumulative Qty Rejected,Cumulative Qty for MRB,Has Rejections,Total Events Per Case,Unique Activities Count,Unique Resources Count,Event Completion Time (minutes),case:Total Duration,Case Remaining Time (minutes)
Case 1,Final Inspection Q.C.,Quality Check 1,2012-02-16 12:43:00,2012-02-16 13:58:00,10,Cable Head,ID4493,D,9,0,0,0,12,16,2,3,32.0,55,1,0,0,16,7,6,75.0,1843.0,135.0
Case 1,Packing,Packing,2012-02-17 00:00:00,2012-02-17 01:00:00,10,Cable Head,ID4820,D,9,0,0,0,0,17,2,4,677.0,64,1,0,0,16,7,6,60.0,1843.0,60.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 07:01:00,2012-01-17 11:05:00,251,Spur Gear,ID3846,S,1,0,0,0,7,17,1,1,0.0,1,0,0,0,24,6,5,244.0,4544.0,4544.0
Case 10,Turning Q.C.,Quality Check 1,2012-01-17 11:00:00,2012-01-17 11:15:00,251,Spur Gear,ID4618,D,0,0,0,0,11,17,1,1,239.0,1,0,0,0,24,6,5,15.0,4544.0,4300.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 19:24:00,2012-01-17 20:01:00,251,Spur Gear,ID4132,S,0,0,0,0,19,17,1,1,504.0,1,0,0,0,24,6,5,37.0,4544.0,4285.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 20:01:00,2012-01-17 23:43:00,251,Spur Gear,ID4132,D,17,0,0,0,20,17,1,1,37.0,18,0,0,0,24,6,5,222.0,4544.0,4248.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-17 23:49:00,2012-01-18 06:32:00,251,Spur Gear,ID4794,D,37,0,0,0,23,17,1,1,228.0,55,0,0,0,24,6,5,403.0,4544.0,4026.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 06:59:00,2012-01-18 07:24:00,251,Spur Gear,ID3846,D,4,0,0,0,6,18,1,2,430.0,59,0,0,0,24,6,5,25.0,4544.0,3623.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 16:33:00,2012-01-18 17:55:00,251,Spur Gear,ID4132,S,1,0,0,0,16,18,1,2,574.0,60,0,0,0,24,6,5,82.0,4544.0,3598.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 17:57:00,2012-01-18 20:04:00,251,Spur Gear,ID4132,D,3,0,0,0,17,18,1,2,84.0,63,0,0,0,24,6,5,127.0,4544.0,3516.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-18 20:10:00,2012-01-19 06:29:00,251,Spur Gear,ID4794,D,40,0,0,0,20,18,1,2,133.0,103,0,0,0,24,6,5,619.0,4544.0,3389.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 16:12:00,2012-01-19 18:09:00,251,Spur Gear,ID4132,S,1,0,0,0,16,19,1,3,1202.0,104,0,0,0,24,6,5,117.0,4544.0,2770.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 18:10:00,2012-01-19 20:08:00,251,Spur Gear,ID4132,D,8,0,0,0,18,19,1,3,118.0,112,0,0,0,24,6,5,118.0,4544.0,2653.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-19 20:09:00,2012-01-20 05:10:00,251,Spur Gear,ID4794,D,40,0,0,0,20,19,1,3,119.0,152,0,0,0,24,6,5,541.0,4544.0,2535.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 02:42:00,2012-01-22 06:34:00,251,Spur Gear,ID4641,D,17,0,0,0,2,22,1,6,3273.0,169,0,0,0,24,6,5,232.0,4544.0,1994.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 07:00:00,2012-01-22 07:13:00,251,Spur Gear,ID3846,D,3,0,0,0,7,22,1,6,258.0,172,0,0,0,24,6,5,13.0,4544.0,1762.0
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,2012-01-22 09:02:00,2012-01-22 17:47:00,251,Spur Gear,ID3846,D,79,0,0,0,9,22,1,6,122.0,251,0,0,0,24,6,5,525.0,4544.0,1749.0
Case 10,Turning Q.C.,Quality Check 1,2012-01-23 07:54:00,2012-01-23 10:26:00,251,Spur Gear,ID4618,D,251,0,0,0,7,23,1,0,1372.0,502,0,0,0,24,6,5,152.0,4544.0,1224.0
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 09:31:00,2012-01-25 10:57:00,251,Spur Gear,ID4794,D,40,0,0,0,9,25,1,2,2977.0,542,0,0,0,24,6,5,86.0,4544.0,1072.0
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 11:00:00,2012-01-25 12:54:00,251,Spur Gear,ID4882,D,160,0,0,0,11,25,1,2,89.0,702,0,0,0,24,6,5,114.0,4544.0,986.0
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-01-25 13:22:00,2012-01-25 14:09:00,251,Spur Gear,ID4882,D,51,0,0,0,13,25,1,2,142.0,753,0,0,0,24,6,5,47.0,4544.0,872.0
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-27 10:30:00,2012-01-27 13:00:00,251,Spur Gear,ID0998,D,100,0,0,0,10,27,1,4,2708.0,853,0,0,0,24,6,5,150.0,4544.0,825.0
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-29 08:09:00,2012-01-29 15:06:00,251,Spur Gear,ID0998,D,100,0,0,0,8,29,1,6,2739.0,953,0,0,0,24,6,5,417.0,4544.0,675.0
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-01-30 15:19:00,2012-01-30 16:59:00,251,Spur Gear,ID0998,D,51,0,0,0,15,30,1,0,1870.0,1004,0,0,0,24,6,5,100.0,4544.0,258.0
Case 10,Final Inspection Q.C.,Quality Check 1,2012-02-02 12:38:00,2012-02-02 14:16:00,251,Spur Gear,ID4618,D,250,1,0,0,12,2,2,3,4159.0,1254,1,0,1,24,6,5,98.0,4544.0,158.0
Case 10,Packing,Packing,2012-02-03 00:00:00,2012-02-03 01:00:00,251,Spur Gear,ID4820,D,250,0,0,0,0,3,2,4,682.0,1504,1,0,0,24,6,5,60.0,4544.0,60.0
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20 17:09:00,2012-02-20 17:57:00,18,Ballnut,ID4219,D,7,0,0,0,17,20,2,0,0.0,7,0,0,0,14,9,8,48.0,1261.0,1261.0
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-20 22:57:00,2012-02-21 02:57:00,18,Ballnut,ID4529,D,11,0,0,0,22,20,2,0,348.0,18,0,0,0,14,9,8,240.0,1261.0,1213.0
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21 06:45:00,2012-02-21 11:03:00,18,Ballnut,ID4219,S,1,0,0,0,6,21,2,1,468.0,19,0,0,0,14,9,8,258.0,1261.0,973.0
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-21 11:04:00,2012-02-21 12:08:00,18,Ballnut,ID4219,D,17,0,0,0,11,21,2,1,259.0,36,0,0,0,14,9,8,64.0,1261.0,715.0
Case 100,Turning & Milling Q.C.,Quality Check 1,2012-02-22 14:48:00,2012-02-22 15:10:00,18,Ballnut,ID4618,D,18,0,0,0,14,22,2,2,1664.0,54,0,0,0,14,9,8,22.0,1261.0,651.0
Case 100,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-11 11:05:00,2012-03-11 11:06:00,18,Ballnut,ID0998,D,18,0,0,0,11,11,3,6,25697.0,72,0,0,0,14,9,8,1.0,1261.0,629.0
Case 100,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-11 12:23:00,2012-03-11 12:45:00,18,Ballnut,ID0998,D,18,0,0,0,12,11,3,6,78.0,90,0,0,0,14,9,8,22.0,1261.0,628.0
Case 100,Lapping - Machine 1,Machine 1 - Lapping,2012-03-11 12:46:00,2012-03-11 13:18:00,18,Ballnut,ID4882,D,18,0,0,0,12,11,3,6,23.0,108,0,0,0,14,9,8,32.0,1261.0,606.0
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13 10:34:00,2012-03-13 10:41:00,18,Ballnut,ID4445,S,0,0,0,0,10,13,3,1,2748.0,108,0,0,0,14,9,8,7.0,1261.0,574.0
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-13 10:41:00,2012-03-13 15:12:00,18,Ballnut,ID4445,D,18,0,0,0,10,13,3,1,7.0,126,0,0,0,14,9,8,271.0,1261.0,567.0
Case 100,Grinding Rework - Machine 12,Machine 12 - Grinding,2012-03-16 11:30:00,2012-03-16 12:40:00,18,Ballnut,ID4872,D,0,0,0,0,11,16,3,4,4369.0,126,0,0,0,14,9,8,70.0,1261.0,296.0
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-19 11:21:00,2012-03-19 14:06:00,18,Ballnut,ID4618,D,0,0,0,0,11,19,3,0,4311.0,126,0,0,0,14,9,8,165.0,1261.0,226.0
Case 100,Packing,Packing,2012-03-21 00:00:00,2012-03-21 01:00:00,18,Ballnut,ID4820,D,18,0,0,0,0,21,3,2,2199.0,144,0,0,0,14,9,8,60.0,1261.0,61.0
Case 100,Final Inspection Q.C.,Quality Check 1,2012-03-21 07:02:00,2012-03-21 07:03:00,18,Ballnut,ID4618,D,18,0,0,0,7,21,3,2,422.0,162,0,0,0,14,9,8,1.0,1261.0,1.0
Case 101,Setup - Machine 8,Machine 8 - Turning & Milling,2012-03-13 18:47:00,2012-03-13 20:03:00,27,Housing,ID4219,S,0,0,0,0,18,13,3,1,0.0,0,0,0,0,17,9,7,76.0,2210.0,2210.0
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 20:38:00,2012-03-13 23:03:00,27,Housing,ID4219,S,0,0,0,0,20,13,3,1,111.0,0,0,0,0,17,9,7,145.0,2210.0,2134.0
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 23:04:00,2012-03-13 23:49:00,27,Housing,ID4219,B,0,0,0,0,23,13,3,1,146.0,0,0,0,0,17,9,7,45.0,2210.0,1989.0
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-13 23:50:00,2012-03-14 01:06:00,27,Housing,ID4219,D,7,0,0,0,23,13,3,1,46.0,7,0,0,0,17,9,7,76.0,2210.0,1944.0
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 01:06:00,2012-03-14 06:28:00,27,Housing,ID4794,D,17,0,0,0,1,14,3,2,76.0,24,0,0,0,17,9,7,322.0,2210.0,1868.0
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 07:02:00,2012-03-14 07:48:00,27,Housing,ID0997,D,3,0,0,0,7,14,3,2,356.0,27,0,0,0,17,9,7,46.0,2210.0,1546.0
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 07:49:00,2012-03-14 11:10:00,27,Housing,ID0997,S,0,0,0,0,7,14,3,2,47.0,27,0,0,0,17,9,7,201.0,2210.0,1500.0
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-14 11:11:00,2012-03-14 13:30:00,27,Housing,ID0997,D,27,0,0,0,11,14,3,2,202.0,54,0,0,0,17,9,7,139.0,2210.0,1299.0
Case 101,Turning & Milling Q.C.,Quality Check 1,2012-03-14 13:33:00,2012-03-14 14:48:00,27,Housing,ID4618,D,27,0,0,0,13,14,3,2,142.0,81,0,0,0,17,9,7,75.0,2210.0,1160.0
Case 101,Flat Grinding - Machine 11,Machine 11 - Grinding,2012-03-15 09:55:00,2012-03-15 10:55:00,27,Housing,ID0998,D,27,0,0,0,9,15,3,3,1222.0,108,0,0,0,17,9,7,60.0,2210.0,1085.0
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-23 11:00:00,2012-03-23 12:40:00,27,Housing,ID0998,D,21,0,0,0,11,23,3,4,11585.0,129,0,0,0,17,9,7,100.0,2210.0,1025.0
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24 22:15:00,2012-03-24 23:45:00,27,Housing,ID4528,S,0,0,0,0,22,24,3,5,2115.0,129,0,0,0,17,9,7,90.0,2210.0,925.0
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,2012-03-24 23:45:00,2012-03-25 06:45:00,27,Housing,ID4528,D,17,0,0,0,23,24,3,5,90.0,146,0,0,0,17,9,7,420.0,2210.0,835.0
Case 101,Final Inspection Q.C.,Quality Check 1,2012-03-25 06:50:00,2012-03-25 11:31:00,27,Housing,ID4618,D,17,0,0,0,6,25,3,6,425.0,163,0,0,0,17,9,7,281.0,2210.0,415.0
Case 101,Lapping - Machine 1,Machine 1 - Lapping,2012-03-25 10:00:00,2012-03-25 11:00:00,27,Housing,ID0998,D,6,0,0,0,10,25,3,6,190.0,169,0,0,0,17,9,7,60.0,2210.0,134.0
Case 101,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-25 11:15:00,2012-03-25 11:29:00,27,Housing,ID0998,D,17,0,0,0,11,25,3,6,75.0,186,0,0,0,17,9,7,14.0,2210.0,74.0
Case 101,Packing,Packing,2012-03-26 00:00:00,2012-03-26 01:00:00,27,Housing,ID4820,D,17,0,0,0,0,26,3,0,765.0,203,0,0,0,17,9,7,60.0,2210.0,60.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27 16:40:00,2012-02-27 21:09:00,24,Spur Gear,ID4219,S,0,0,0,0,16,27,2,0,0.0,0,0,0,0,30,9,7,269.0,3330.0,3330.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-27 21:46:00,2012-02-28 01:23:00,24,Spur Gear,ID4219,S,0,0,0,0,21,27,2,0,306.0,0,0,0,0,30,9,7,217.0,3330.0,3061.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 11:00:00,2012-02-28 13:26:00,24,Spur Gear,ID0997,S,0,0,0,0,11,28,2,1,794.0,0,0,0,0,30,9,7,146.0,3330.0,2844.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 14:20:00,2012-02-28 16:12:00,24,Spur Gear,ID0997,S,0,0,0,0,14,28,2,1,200.0,0,0,0,0,30,9,7,112.0,3330.0,2698.0
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-28 14:35:00,2012-02-28 15:25:00,24,Spur Gear,ID4287,D,0,0,0,0,14,28,2,1,15.0,0,0,0,0,30,9,7,50.0,3330.0,2586.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 16:12:00,2012-02-28 17:56:00,24,Spur Gear,ID0997,D,3,0,0,0,16,28,2,1,97.0,3,0,0,0,30,9,7,104.0,3330.0,2536.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-28 21:28:00,2012-02-29 01:29:00,24,Spur Gear,ID4219,D,9,0,0,0,21,28,2,1,316.0,12,0,0,0,30,9,7,241.0,3330.0,2432.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 01:30:00,2012-02-29 04:31:00,24,Spur Gear,ID4794,D,7,0,0,0,1,29,2,2,242.0,19,0,0,0,30,9,7,181.0,3330.0,2191.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 07:32:00,2012-02-29 11:05:00,24,Spur Gear,ID0997,D,5,0,0,0,7,29,2,2,362.0,24,0,0,0,30,9,7,213.0,3330.0,2010.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 11:05:00,2012-02-29 16:00:00,24,Spur Gear,ID0997,S,1,0,0,0,11,29,2,2,213.0,25,0,0,0,30,9,7,295.0,3330.0,1797.0
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29 15:00:00,2012-02-29 16:00:00,24,Spur Gear,ID4287,D,24,0,0,0,15,29,2,2,235.0,49,0,0,0,30,9,7,60.0,3330.0,1502.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 16:00:00,2012-02-29 17:20:00,24,Spur Gear,ID0997,S,0,0,0,0,16,29,2,2,60.0,49,0,0,0,30,9,7,80.0,3330.0,1442.0
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-02-29 16:04:00,2012-02-29 16:36:00,24,Spur Gear,ID4287,D,0,0,0,0,16,29,2,2,4.0,49,0,0,0,30,9,7,32.0,3330.0,1362.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 17:19:00,2012-02-29 17:48:00,24,Spur Gear,ID0997,D,8,0,0,0,17,29,2,2,75.0,57,0,0,0,30,9,7,29.0,3330.0,1330.0
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-02-29 22:27:00,2012-03-01 00:11:00,24,Spur Gear,ID4219,D,15,0,0,0,22,29,2,2,308.0,72,0,0,0,30,9,7,104.0,3330.0,1301.0
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-01 09:30:00,2012-03-01 10:49:00,24,Spur Gear,ID4287,D,0,1,0,0,9,1,3,3,663.0,72,1,0,1,30,9,7,79.0,3330.0,1197.0
Case 102,Turning & Milling Q.C.,Quality Check 1,2012-03-06 00:00:00,2012-03-06 01:15:00,24,Spur Gear,ID4287,D,23,0,0,0,0,6,3,1,6630.0,95,1,0,0,30,9,7,75.0,3330.0,1118.0
Case 102,Laser Marking - Machine 7,Machine 7- Laser Marking,2012-03-08 13:32:00,2012-03-08 14:41:00,24,Spur Gear,ID0998,D,23,0,0,0,13,8,3,3,3692.0,118,1,0,0,30,9,7,69.0,3330.0,1043.0
Case 102,Lapping - Machine 1,Machine 1 - Lapping,2012-03-09 00:00:00,2012-03-09 01:15:00,24,Spur Gear,ID4882,D,0,0,0,0,0,9,3,4,628.0,118,1,0,0,30,9,7,75.0,3330.0,974.0
Case 102,Lapping - Machine 1,Machine 1 - Lapping,2012-03-11 09:38:00,2012-03-11 11:04:00,24,Spur Gear,ID0998,D,23,0,0,0,9,11,3,6,3458.0,141,1,0,0,30,9,7,86.0,3330.0,899.0
Case 102,Round Grinding - Manual,Machine 27 - Grinding,2012-03-11 19:25:00,2012-03-11 20:00:00,24,Spur Gear,ID4528,S,0,0,0,0,19,11,3,6,587.0,141,1,0,0,30,9,7,35.0,3330.0,813.0
Case 102,Round Grinding - Manual,Machine 27 - Grinding,2012-03-11 20:00:00,2012-03-11 23:40:00,24,Spur Gear,ID4528,D,23,0,0,0,20,11,3,6,35.0,164,1,0,0,30,9,7,220.0,3330.0,778.0
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 07:03:00,2012-03-12 08:09:00,24,Spur Gear,ID4445,S,0,0,0,0,7,12,3,0,663.0,164,1,0,0,30,9,7,66.0,3330.0,558.0
Case 102,Round Grinding - Q.C.,Quality Check 1,2012-03-12 07:50:00,2012-03-12 08:09:00,24,Spur Gear,ID4287,D,5,0,0,0,7,12,3,0,47.0,169,1,0,0,30,9,7,19.0,3330.0,492.0
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 08:02:00,2012-03-12 08:04:00,24,Spur Gear,ID4445,S,0,0,0,0,8,12,3,0,12.0,169,1,0,0,30,9,7,2.0,3330.0,473.0
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-03-12 08:10:00,2012-03-12 10:58:00,24,Spur Gear,ID4445,D,23,0,0,0,8,12,3,0,8.0,192,1,0,0,30,9,7,168.0,3330.0,471.0
Case 102,Round Grinding - Q.C.,Quality Check 1,2012-03-12 10:00:00,2012-03-12 10:57:00,24,Spur Gear,ID4287,D,18,0,0,0,10,12,3,0,110.0,210,1,0,0,30,9,7,57.0,3330.0,303.0
Case 102,Final Inspection Q.C.,Quality Check 1,2012-03-12 14:00:00,2012-03-12 17:00:00,24,Spur Gear,ID4287,D,0,0,0,0,14,12,3,0,240.0,210,1,0,0,30,9,7,180.0,3330.0,246.0
Case 102,Final Inspection Q.C.,Quality Check 1,2012-03-13 08:00:00,2012-03-13 08:06:00,24,Spur Gear,ID4287,D,23,0,0,0,8,13,3,1,1080.0,233,1,0,0,30,9,7,6.0,3330.0,66.0
Case 102,Packing,Packing,2012-03-14 00:00:00,2012-03-14 01:00:00,24,Spur Gear,ID4820,D,23,0,0,0,0,14,3,2,960.0,256,1,0,0,30,9,7,60.0,3330.0,60.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-06 09:10:00,2012-03-06 10:18:00,52,Adjusting Nut,ID4219,B,0,0,0,0,9,6,3,1,0.0,0,0,0,0,19,6,5,68.0,2815.0,2815.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 04:19:00,2012-03-08 06:51:00,52,Adjusting Nut,ID0997,S,0,0,0,0,4,8,3,3,2589.0,0,0,0,0,19,6,5,152.0,2815.0,2747.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 10:04:00,2012-03-08 16:38:00,52,Adjusting Nut,ID4219,S,0,0,0,0,10,8,3,3,345.0,0,0,0,0,19,6,5,394.0,2815.0,2595.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-08 20:24:00,2012-03-09 04:35:00,52,Adjusting Nut,ID0997,S,0,0,0,0,20,8,3,3,620.0,0,0,0,0,19,6,5,491.0,2815.0,2201.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09 04:35:00,2012-03-09 07:27:00,52,Adjusting Nut,ID0997,D,14,0,0,0,4,9,3,4,491.0,14,0,0,0,19,6,5,172.0,2815.0,1710.0
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-09 07:32:00,2012-03-09 10:38:00,52,Adjusting Nut,ID4618,D,0,0,0,0,7,9,3,4,177.0,14,0,0,0,19,6,5,186.0,2815.0,1538.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-09 07:32:00,2012-03-09 10:27:00,52,Adjusting Nut,ID4219,D,8,0,0,0,7,9,3,4,0.0,22,0,0,0,19,6,5,175.0,2815.0,1352.0
Case 103,Turning & Milling Q.C.,Quality Check 1,2012-03-11 07:42:00,2012-03-11 08:16:00,52,Adjusting Nut,ID4618,D,0,0,0,0,7,11,3,6,2890.0,22,0,0,0,19,6,5,34.0,2815.0,1177.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 09:03:00,2012-03-11 10:37:00,52,Adjusting Nut,ID0997,D,0,0,0,0,9,11,3,6,81.0,22,0,0,0,19,6,5,94.0,2815.0,1143.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 10:37:00,2012-03-11 11:48:00,52,Adjusting Nut,ID0997,S,0,0,0,0,10,11,3,6,94.0,22,0,0,0,19,6,5,71.0,2815.0,1049.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 11:49:00,2012-03-11 16:09:00,52,Adjusting Nut,ID0997,D,25,0,0,0,11,11,3,6,72.0,47,0,0,0,19,6,5,260.0,2815.0,978.0
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2012-03-11 16:35:00,2012-03-11 18:35:00,52,Adjusting Nut,ID4219,D,5,0,0,0,16,11,3,6,286.0,52,0,0,0,19,6,5,120.0,2815.0,718.0
