Case ID,Activity,Concurrent Case Count,Avg Qty Completed by Others,Avg Qty Rejected by Others,Avg Duration of Concurrent Cases,Active Resources Count,Total Qty Completed by Others,Completion Time (minutes)
Case 10,Turning & Milling - Machine 9,2,53.5,0.0,377.0,2,107,525.0
Case 10,Turning Q.C.,1,1.0,0.0,170.0,1,1,152.0
Case 10,Laser Marking - Machine 7,0,,,,0,0,86.0
Case 10,Laser Marking - Machine 7,0,,,,0,0,114.0
Case 10,Laser Marking - Machine 7,1,4.0,0.0,100.0,1,4,47.0
Case 10,Flat Grinding - Machine 11,0,,,,0,0,150.0
Case 10,Flat Grinding - Machine 11,1,17.0,0.0,80.0,1,17,417.0
Case 10,Flat Grinding - Machine 11,0,,,,0,0,100.0
Case 10,Final Inspection Q.C.,0,,,,0,0,98.0
Case 10,Packing,3,6.666666666666667,0.0,65.0,2,20,60.0
Case 100,Turning & Milling - Machine 8,0,,,,0,0,48.0
Case 100,Turning & Milling - Machine 8,0,,,,0,0,240.0
Case 100,Turning & Milling - Machine 8,2,24.5,0.0,665.0,2,49,258.0
Case 100,Turning & Milling - Machine 8,1,11.0,0.0,240.0,1,11,64.0
Case 100,Turning & Milling Q.C.,2,8.5,0.5,47.5,2,17,22.0
Case 100,Laser Marking - Machine 7,1,9.0,0.0,75.0,1,9,1.0
Case 100,Flat Grinding - Machine 11,1,9.0,0.0,75.0,1,9,22.0
Case 100,Lapping - Machine 1,0,,,,0,0,32.0
Case 100,Round Grinding - Machine 3,0,,,,0,0,7.0
Case 100,Round Grinding - Machine 3,0,,,,0,0,271.0
Case 100,Grinding Rework - Machine 12,0,,,,0,0,70.0
Case 100,Final Inspection Q.C.,0,,,,0,0,165.0
Case 100,Packing,8,17.0,0.0,66.0,3,170,60.0
Case 100,Final Inspection Q.C.,1,0.0,0.0,100.0,1,0,1.0
Case 101,Setup - Machine 8,0,,,,0,0,76.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,145.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,45.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,76.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,322.0
Case 101,Turning & Milling - Machine 8,4,30.0,0.75,226.75,4,120,46.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,201.0
Case 101,Turning & Milling - Machine 8,2,16.0,0.0,209.0,1,32,139.0
Case 101,Turning & Milling Q.C.,1,0.0,0.0,1061.0,1,0,75.0
Case 101,Flat Grinding - Machine 11,1,20.0,0.0,1.0,1,20,60.0
Case 101,Lapping - Machine 1,0,,,,0,0,100.0
Case 101,Round Grinding - Machine 12,0,,,,0,0,90.0
Case 101,Round Grinding - Machine 12,0,,,,0,0,420.0
Case 101,Final Inspection Q.C.,0,,,,0,0,281.0
Case 101,Lapping - Machine 1,1,12.0,0.0,15.0,1,12,60.0
Case 101,Laser Marking - Machine 7,0,,,,0,0,14.0
Case 101,Packing,7,14.142857142857142,0.0,70.71428571428571,3,99,60.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,269.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,217.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,146.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,112.0
Case 102,Turning & Milling Q.C.,0,,,,0,0,50.0
Case 102,Turning & Milling - Machine 8,2,3.0,0.0,271.0,2,6,104.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,241.0
Case 102,Turning & Milling - Machine 8,2,9.0,0.0,306.0,2,18,181.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,213.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,295.0
Case 102,Turning & Milling Q.C.,1,0.0,4.0,45.0,1,0,60.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,80.0
Case 102,Turning & Milling Q.C.,3,41.0,0.3333333333333333,106.0,3,123,32.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,29.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,104.0
Case 102,Turning & Milling Q.C.,0,,,,0,0,79.0
Case 102,Turning & Milling Q.C.,6,6.625,0.0,86.5,4,53,75.0
Case 102,Laser Marking - Machine 7,1,4.0,0.0,69.0,1,4,69.0
Case 102,Lapping - Machine 1,4,43.5,0.0,63.75,2,174,75.0
Case 102,Lapping - Machine 1,0,,,,0,0,86.0
Case 102,Round Grinding - Manual,0,,,,0,0,35.0
Case 102,Round Grinding - Manual,0,,,,0,0,220.0
Case 102,Round Grinding - Machine 3,2,14.333333333333334,0.0,272.0,3,43,66.0
Case 102,Round Grinding - Q.C.,2,38.5,0.0,282.0,2,77,19.0
Case 102,Round Grinding - Machine 3,1,0.0,3.0,8.0,1,0,2.0
Case 102,Round Grinding - Machine 3,2,27.5,0.0,38.5,1,55,168.0
Case 102,Round Grinding - Q.C.,0,,,,0,0,57.0
Case 102,Final Inspection Q.C.,0,,,,0,0,180.0
Case 102,Final Inspection Q.C.,1,5.0,0.0,479.0,1,5,6.0
Case 102,Packing,7,67.5,0.0,70.5,6,675,60.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,68.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,152.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,394.0
Case 103,Turning & Milling - Machine 8,3,38.333333333333336,0.0,131.33333333333334,3,115,491.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,172.0
Case 103,Turning & Milling Q.C.,0,,,,0,0,186.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,175.0
Case 103,Turning & Milling Q.C.,0,,,,0,0,34.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,94.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,71.0
Case 103,Turning & Milling - Machine 8,1,0.0,0.0,467.0,1,0,260.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,120.0
Case 103,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 103,Laser Marking - Machine 7,0,,,,0,0,52.0
Case 103,Flat Grinding - Machine 11,0,,,,0,0,37.0
Case 103,Final Inspection Q.C.,0,,,,0,0,230.0
Case 103,Final Inspection Q.C.,4,21.75,0.75,286.75,4,87,217.0
Case 103,Final Inspection Q.C.,1,62.0,0.0,75.0,1,62,1.0
Case 103,Packing,4,42.8,0.0,66.0,2,214,60.0
Case 104,Turning & Milling - Machine 5,0,,,,0,0,343.0
Case 104,Turning & Milling - Machine 5,0,,,,0,0,254.0
Case 104,Turning & Milling - Machine 5,4,21.25,0.75,293.75,3,85,247.0
Case 104,Turning & Milling Q.C.,1,25.0,0.0,75.0,1,25,120.0
Case 104,Turning & Milling Q.C.,1,10.0,0.0,193.0,1,10,46.0
Case 104,Laser Marking - Machine 7,1,7.0,0.0,50.0,1,7,28.0
Case 105,Turning & Milling - Machine 4,1,13.0,0.0,242.0,1,13,436.0
Case 105,Turning & Milling - Machine 4,2,2.5,0.0,538.5,2,5,193.0
Case 106,Turning & Milling - Machine 8,0,,,,0,0,330.0
Case 106,Turning & Milling - Machine 8,0,,,,0,0,223.0
Case 106,Turning & Milling Q.C.,3,47.0,0.0,280.3333333333333,2,141,28.0
Case 106,Laser Marking - Machine 7,2,10.0,0.0,244.5,2,20,73.0
Case 106,Flat Grinding - Machine 11,0,,,,0,0,38.0
Case 106,Final Inspection Q.C.,0,,,,0,0,150.0
Case 106,Packing,9,19.6,0.5,61.5,2,196,60.0
Case 106,Final Inspection Q.C.,2,1.5,0.0,119.0,2,3,75.0
Case 107,Turning & Milling - Machine 10,1,0.0,0.0,45.0,1,0,311.0
Case 108,Turning & Milling - Machine 4,0,,,,0,0,337.0
Case 108,Turning & Milling - Machine 4,2,12.0,0.0,313.5,2,24,134.0
Case 108,Turning & Milling Q.C.,3,14.0,0.0,388.0,3,42,100.0
Case 108,Turning & Milling - Machine 4,0,,,,0,0,205.0
Case 108,Turning & Milling Q.C.,2,0.0,0.0,150.5,2,0,64.0
Case 108,Laser Marking - Machine 7,0,,,,0,0,75.0
Case 108,Flat Grinding - Machine 11,13,54.46666666666667,0.0,64.0,3,817,75.0
Case 108,Flat Grinding - Machine 11,0,,,,0,0,59.0
Case 108,Lapping - Machine 1,0,,,,0,0,75.0
Case 108,Lapping - Machine 1,0,,,,0,0,52.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,166.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,172.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,104.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,213.0
Case 108,Final Inspection Q.C.,1,29.0,0.0,27.0,1,29,292.0
Case 108,Packing,4,40.0,0.0,67.5,3,160,60.0
Case 108,Final Inspection Q.C.,0,,,,0,0,27.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,407.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,361.0
Case 109,Turning & Milling Q.C.,6,13.857142857142858,0.0,75.14285714285714,5,97,75.0
Case 109,Turning & Milling - Machine 4,5,15.833333333333334,0.0,67.5,4,95,65.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,334.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,172.0
Case 109,Turning & Milling Q.C.,2,19.0,0.0,317.6666666666667,2,57,81.0
Case 109,Turning & Milling Q.C.,0,,,,0,0,5.0
Case 109,Laser Marking - Machine 7,1,14.0,0.0,75.0,2,28,21.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,79.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,26.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,274.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,53.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,154.0
Case 109,Final Inspection Q.C.,0,,,,0,0,205.0
Case 109,Packing,3,3.0,0.0,70.0,3,9,60.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,336.0
Case 11,Turning & Milling - Machine 10,4,16.0,0.0,167.5,3,64,170.0
Case 11,Turning & Milling Q.C.,1,0.0,0.0,30.0,1,0,54.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,392.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,330.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,418.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,75.0
Case 11,Turning & Milling Q.C.,6,9.333333333333334,0.6666666666666666,245.33333333333334,5,56,98.0
Case 11,Turning & Milling - Machine 10,1,12.0,1.0,211.0,1,12,75.0
Case 11,Turning & Milling - Machine 10,1,12.0,1.0,211.0,1,12,80.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,335.0
Case 11,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 11,Turning & Milling - Machine 9,2,21.0,0.0,102.33333333333333,2,63,81.0
Case 11,Turning & Milling - Machine 10,1,2.0,0.0,30.0,1,2,419.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,193.0
Case 11,Laser Marking - Machine 7,0,,,,0,0,32.0
Case 11,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 11,Laser Marking - Machine 7,0,,,,0,0,85.0
Case 11,Packing,2,36.0,0.0,60.0,1,72,60.0
Case 11,Final Inspection Q.C.,1,16.0,0.0,61.0,1,16,178.0
Case 11,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,166.0
Case 110,Turning & Milling - Machine 6,5,22.6,0.0,374.2,4,113,339.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,60.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,189.0
Case 110,Turning & Milling - Machine 6,1,31.0,0.0,625.0,1,31,611.0
Case 110,Turning & Milling - Machine 6,1,14.0,0.0,361.0,1,14,362.0
Case 110,Turning & Milling - Machine 6,2,10.0,0.0,240.0,2,20,686.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,430.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,31.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,7.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,1.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,189.0
Case 110,Turning & Milling - Machine 6,1,24.0,0.0,34.0,1,24,266.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,255.0
Case 110,Turning & Milling - Machine 6,1,4.0,0.0,281.0,1,4,466.0
Case 110,Turning & Milling - Machine 6,1,26.0,0.0,304.0,1,26,303.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,42.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,268.0
Case 110,Turning & Milling - Machine 6,1,9.0,0.0,1315.0,1,9,1314.0
Case 110,Turning & Milling - Machine 6,1,29.0,0.0,428.0,1,29,429.0
Case 110,Turning & Milling - Machine 6,1,20.0,0.0,553.0,1,20,554.0
Case 110,Turning & Milling Q.C.,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling - Machine 6,2,0.0,0.0,130.0,2,0,241.0
Case 110,Turning & Milling Q.C.,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,457.0
Case 110,Turning & Milling Q.C.,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling - Machine 6,2,19.666666666666668,0.0,225.66666666666666,2,59,336.0
Case 110,Turning & Milling - Machine 6,1,35.0,0.0,1328.0,1,35,1326.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,152.0
Case 110,Laser Marking - Machine 7,0,,,,0,0,217.0
Case 110,Flat Grinding - Machine 11,0,,,,0,0,79.0
Case 110,Laser Marking - Machine 7,0,,,,0,0,63.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,172.0
Case 110,Flat Grinding - Machine 11,2,7.5,0.0,43.5,2,15,297.0
Case 110,Lapping - Machine 1,2,2.5,0.5,45.0,1,5,132.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,56.0
Case 110,Turning & Milling - Machine 6,3,4.0,0.0,131.0,3,12,258.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,16.0
Case 110,Turning & Milling - Machine 6,2,19.5,0.0,107.0,2,39,99.0
Case 110,Lapping - Machine 1,0,,,,0,0,138.0
Case 110,Lapping - Machine 1,0,,,,0,0,160.0
Case 110,Flat Grinding - Machine 11,1,11.0,0.0,258.0,1,11,75.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,420.0
Case 110,Lapping - Machine 1,0,,,,0,0,75.0
Case 110,Turning & Milling Q.C.,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling - Machine 6,1,0.0,0.0,332.0,1,0,330.0
Case 110,Lapping - Machine 1,0,,,,0,0,1.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,601.0
Case 110,Turning & Milling - Machine 6,1,47.0,0.0,137.0,1,47,1405.0
Case 110,Turning & Milling - Machine 6,2,22.5,0.0,474.0,2,45,284.0
Case 110,Lapping - Machine 1,7,16.571428571428573,0.0,68.57142857142857,3,116,75.0
Case 110,Laser Marking - Machine 7,5,47.4,1.2,225.0,3,237,13.0
Case 110,Lapping - Machine 1,4,2.6,0.0,66.0,2,13,75.0
Case 110,Turning & Milling Q.C.,1,225.0,0.0,301.0,1,225,1.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,48.0
Case 110,Round Grinding - Machine 3,2,14.0,0.0,34.666666666666664,2,42,104.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,251.0
Case 110,Round Grinding - Machine 3,2,0.5,0.0,161.0,2,1,557.0
Case 110,Packing,9,65.4,0.0,63.0,3,654,60.0
Case 110,Packing,9,65.4,0.0,63.0,3,654,60.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,80.0
Case 110,Round Grinding - Machine 3,4,88.5,0.0,223.75,3,354,179.0
Case 110,Flat Grinding - Machine 11,0,,,,0,0,1.0
Case 110,Lapping - Machine 1,0,,,,0,0,75.0
Case 110,Final Inspection Q.C.,1,21.0,0.0,88.0,1,21,69.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,304.0
Case 110,Round Grinding - Machine 3,1,0.0,0.0,63.0,1,0,114.0
Case 110,Packing,15,33.5625,0.1875,81.5,5,537,60.0
Case 110,Final Inspection Q.C.,1,5.0,0.0,20.0,1,5,187.0
Case 111,Turning - Machine 4,0,,,,0,0,183.0
Case 111,Turning - Machine 4,1,0.0,0.0,78.5,2,0,386.0
Case 111,Turning - Machine 4,0,,,,0,0,540.0
Case 111,Turning - Machine 4,0,,,,0,0,208.0
Case 111,Turning - Machine 4,0,,,,0,0,661.0
Case 111,Turning - Machine 4,4,15.0,0.75,280.75,3,60,241.0
Case 111,Turning Q.C.,1,0.0,0.0,126.0,1,0,75.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,396.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,660.0
Case 111,Turning & Milling - Machine 4,3,4.666666666666667,0.0,150.0,2,14,341.0
Case 111,Turning - Machine 4,1,20.0,0.0,330.0,1,20,332.0
Case 111,Turning - Machine 4,0,,,,0,0,562.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,121.0
Case 111,Turning & Milling - Machine 4,2,15.0,0.0,379.5,2,30,473.0
Case 111,Turning & Milling - Machine 4,1,13.0,0.0,211.0,1,13,506.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,649.0
Case 111,Turning & Milling Q.C.,0,,,,0,0,121.0
Case 111,Laser Marking - Machine 7,1,4.0,0.0,130.0,1,4,18.0
Case 111,Laser Marking - Machine 7,2,5.0,0.0,83.5,2,10,101.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,421.0
Case 111,Turning & Milling Q.C.,4,7.0,0.0,287.75,3,28,35.0
Case 111,Turning & Milling Q.C.,4,7.0,0.0,287.75,3,28,239.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,1200.0
Case 111,Laser Marking - Machine 7,0,,,,0,0,136.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,38.0
Case 112,Turning & Milling - Machine 9,1,12.0,0.0,44.0,1,12,227.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,102.0
Case 112,Turning & Milling Q.C.,6,25.0,0.0,218.5,6,150,100.0
Case 112,Turning & Milling - Machine 9,1,20.0,0.0,75.0,1,20,47.0
Case 112,Turning & Milling - Machine 9,1,0.0,0.0,330.0,1,0,259.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,101.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,605.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,81.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,458.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,583.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,212.0
Case 112,Turning & Milling Q.C.,1,0.0,0.0,113.0,1,0,33.0
Case 112,Turning & Milling Q.C.,1,0.0,0.0,113.0,1,0,33.0
Case 112,Laser Marking - Machine 7,0,,,,0,0,133.0
Case 112,Lapping - Machine 1,0,,,,0,0,147.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,161.0
Case 112,Turning & Milling - Machine 10,1,17.0,0.0,398.0,1,17,171.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,214.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,553.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,570.0
Case 112,Turning & Milling - Machine 10,1,0.0,0.0,41.0,1,0,632.0
Case 112,Final Inspection Q.C.,0,,,,0,0,120.0
Case 112,Final Inspection Q.C.,1,0.0,0.0,115.0,1,0,33.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,359.0
Case 112,Packing,8,9.11111111111111,0.0,66.66666666666667,3,82,60.0
Case 112,Packing,8,9.11111111111111,0.0,66.66666666666667,3,82,60.0
Case 112,Turning & Milling Q.C.,1,11.0,0.0,121.0,1,11,89.0
Case 112,Laser Marking - Machine 7,1,2.0,0.0,56.0,1,2,151.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,132.0
Case 112,Turning & Milling - Machine 10,2,44.5,0.0,445.5,2,89,543.0
Case 112,Grinding Rework,0,,,,0,0,60.0
Case 112,Grinding Rework,1,0.0,0.0,230.0,1,0,200.0
Case 112,Lapping - Machine 1,0,,,,0,0,273.0
Case 112,Final Inspection Q.C.,1,4.0,0.0,369.0,1,4,374.0
Case 112,Packing,9,55.0,0.0,62.72727272727273,3,605,60.0
Case 112,Final Inspection Q.C.,2,34.0,0.0,130.0,2,68,34.0
Case 113,SETUP     Turning & Milling - Machine 5,0,,,,0,0,220.0
Case 113,Turning & Milling - Machine 5,1,40.0,0.0,516.0,1,40,530.0
Case 113,Turning & Milling Q.C.,3,17.333333333333332,0.0,172.66666666666666,3,52,241.0
Case 113,Laser Marking - Machine 7,1,11.0,0.0,24.0,1,11,24.0
Case 114,Turning & Milling - Machine 6,0,,,,0,0,290.0
Case 114,Turning & Milling Q.C.,1,0.0,0.0,24.0,1,0,83.0
Case 114,Turning & Milling - Machine 6,1,16.0,0.0,297.5,1,32,51.0
Case 114,Turning & Milling - Machine 6,0,,,,0,0,452.0
Case 114,Turning & Milling Q.C.,6,16.0,0.0,73.875,6,128,75.0
Case 114,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 114,Turning & Milling Q.C.,0,,,,0,0,8.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,380.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,384.0
Case 115,Turning & Milling - Machine 4,4,36.6,0.4,165.0,3,183,96.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,73.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,239.0
Case 115,Turning & Milling Q.C.,1,19.0,0.0,324.0,1,19,90.0
Case 115,Turning & Milling Q.C.,0,,,,0,0,50.0
Case 115,Flat Grinding - Machine 11,0,,,,0,0,66.0
Case 115,Flat Grinding - Machine 11,4,43.5,0.0,63.75,2,174,75.0
Case 115,Flat Grinding - Machine 11,0,,,,0,0,72.0
Case 115,Turning & Milling Q.C.,2,100.0,0.0,65.0,2,200,60.0
Case 115,Lapping - Machine 1,0,,,,0,0,88.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,128.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,60.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,429.0
Case 115,Round Grinding - Q.C.,2,0.0,0.0,153.0,2,0,51.0
Case 115,Round Grinding - Machine 2,2,0.0,0.0,153.0,2,0,525.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,58.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,70.0
Case 115,Round Grinding - Q.C.,0,,,,0,0,103.0
Case 115,Laser Marking - Machine 7,0,,,,0,0,103.0
Case 115,Final Inspection Q.C.,1,0.0,0.0,230.0,1,0,60.0
Case 115,Packing,7,4.142857142857143,0.0,70.71428571428571,3,29,60.0
Case 116,Round Grinding - Manual,2,0.5,0.0,76.5,2,1,279.0
Case 116,Round Grinding - Manual,1,1.0,0.0,188.0,1,1,308.0
Case 116,Round Grinding - Manual,1,0.0,0.0,57.0,1,0,179.0
Case 116,Packing,7,41.7,0.0,60.0,1,417,60.0
Case 116,Round Grinding - Manual,2,25.5,0.5,63.5,1,51,123.0
Case 116,Final Inspection Q.C.,2,0.0,0.5,154.0,2,0,60.0
Case 116,Round Grinding - Manual,0,,,,0,0,402.0
Case 116,Round Grinding - Manual,0,,,,0,0,482.0
Case 116,Round Grinding - Manual,1,0.0,0.0,60.0,1,0,449.0
Case 116,Round Grinding - Manual,1,13.0,0.0,472.0,1,13,81.0
Case 116,Packing,13,48.0,0.0,65.0,3,720,60.0
Case 116,Final Inspection Q.C.,2,4.0,0.0,214.0,2,8,59.0
Case 117,Packing,7,52.0,0.0,60.0,1,468,60.0
Case 117,Packing,7,52.0,0.0,60.0,1,468,60.0
Case 117,Final Inspection - Weighting,0,,,,0,0,75.0
Case 118,Turning & Milling - Machine 6,3,18.0,0.0,65.0,2,54,75.0
Case 118,Turning & Milling - Machine 6,2,41.5,0.0,379.0,2,83,121.0
Case 118,Turning & Milling - Machine 6,0,,,,0,0,197.0
Case 118,Turning & Milling Q.C.,1,0.0,1.0,10.0,1,0,83.0
Case 119,Turning & Milling - Machine 10,1,15.0,0.0,46.0,1,15,525.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,55.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,630.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,335.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,626.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,570.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,570.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,405.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,617.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,568.0
Case 119,Turning & Milling - Machine 10,1,0.0,0.0,65.0,1,0,600.0
Case 12,Turning - Machine 9,0,,,,0,0,262.0
Case 12,Turning - Machine 9,1,0.0,0.0,65.0,1,0,112.0
