Case ID,Activity,Last Qty Completed,Last Qty Rejected,Completion Time (minutes)
Case 103,Final Inspection Q.C.,50,0,1.0
Case 103,Packing,50,0,60.0
Case 104,Turning & Milling - Machine 5,1,0,343.0
Case 104,Turning & Milling - Machine 5,19,0,254.0
Case 104,Turning & Milling - Machine 5,13,0,247.0
Case 104,Turning & Milling Q.C.,0,0,120.0
Case 104,Turning & Milling Q.C.,33,0,46.0
Case 104,Laser Marking - Machine 7,33,0,28.0
Case 105,Turning & Milling - Machine 4,0,0,436.0
Case 105,Turning & Milling - Machine 4,15,0,193.0
Case 106,Turning & Milling - Machine 8,0,0,330.0
Case 106,Turning & Milling - Machine 8,39,0,223.0
Case 106,Turning & Milling Q.C.,39,0,28.0
Case 106,Laser Marking - Machine 7,39,0,73.0
Case 106,Flat Grinding - Machine 11,39,0,38.0
Case 106,Final Inspection Q.C.,0,0,150.0
Case 106,Packing,39,0,60.0
Case 106,Final Inspection Q.C.,39,0,75.0
Case 107,Turning & Milling - Machine 10,1,0,311.0
Case 108,Turning & Milling - Machine 4,1,0,337.0
Case 108,Turning & Milling - Machine 4,1,0,134.0
Case 108,Turning & Milling Q.C.,0,0,100.0
Case 108,Turning & Milling - Machine 4,13,0,205.0
Case 108,Turning & Milling Q.C.,14,1,64.0
Case 108,Laser Marking - Machine 7,14,0,75.0
Case 108,Flat Grinding - Machine 11,0,0,75.0
Case 108,Flat Grinding - Machine 11,14,0,59.0
Case 108,Lapping - Machine 1,0,0,75.0
Case 108,Lapping - Machine 1,14,0,52.0
Case 108,Round Grinding - Machine 3,0,0,166.0
Case 108,Round Grinding - Machine 3,5,0,172.0
Case 108,Round Grinding - Machine 3,4,0,104.0
Case 108,Round Grinding - Machine 3,5,0,213.0
Case 108,Final Inspection Q.C.,0,0,292.0
Case 108,Packing,14,0,60.0
Case 108,Final Inspection Q.C.,14,0,27.0
Case 109,Turning & Milling - Machine 4,0,0,407.0
Case 109,Turning & Milling - Machine 4,2,0,361.0
Case 109,Turning & Milling Q.C.,49,0,75.0
Case 109,Turning & Milling - Machine 4,1,0,65.0
Case 109,Turning & Milling - Machine 4,31,0,334.0
Case 109,Turning & Milling - Machine 4,16,0,172.0
Case 109,Turning & Milling Q.C.,0,0,81.0
Case 109,Turning & Milling Q.C.,0,1,5.0
Case 109,Laser Marking - Machine 7,49,0,21.0
Case 109,Round Grinding - Machine 2,1,0,79.0
Case 109,Round Grinding - Machine 2,3,0,26.0
Case 109,Round Grinding - Machine 2,45,0,274.0
Case 109,Round Grinding - Machine 2,0,0,53.0
Case 109,Round Grinding - Machine 2,49,0,154.0
Case 109,Final Inspection Q.C.,45,4,205.0
Case 109,Packing,45,0,60.0
Case 11,Turning & Milling - Machine 10,0,0,336.0
Case 11,Turning & Milling - Machine 10,1,0,170.0
Case 11,Turning & Milling Q.C.,0,0,54.0
Case 11,Turning & Milling - Machine 10,17,0,392.0
Case 11,Turning & Milling - Machine 10,18,0,330.0
Case 11,Turning & Milling - Machine 10,19,0,418.0
Case 11,Turning & Milling - Machine 10,7,0,75.0
Case 11,Turning & Milling Q.C.,0,0,98.0
Case 11,Turning & Milling - Machine 10,0,0,75.0
Case 11,Turning & Milling - Machine 10,0,0,80.0
Case 11,Turning & Milling - Machine 10,14,0,335.0
Case 11,Turning & Milling Q.C.,60,0,75.0
Case 11,Turning & Milling - Machine 9,1,0,81.0
Case 11,Turning & Milling - Machine 10,14,0,419.0
Case 11,Turning & Milling - Machine 10,9,0,193.0
Case 11,Laser Marking - Machine 7,20,0,32.0
Case 11,Turning & Milling Q.C.,37,0,1.0
Case 11,Laser Marking - Machine 7,77,0,85.0
Case 11,Packing,97,0,60.0
Case 11,Final Inspection Q.C.,97,0,178.0
Case 11,Turning & Milling Q.C.,0,3,1.0
Case 110,Turning & Milling - Machine 6,1,0,166.0
Case 110,Turning & Milling - Machine 6,3,0,339.0
Case 110,Turning & Milling Q.C.,0,0,60.0
Case 110,Turning & Milling - Machine 6,10,0,189.0
Case 110,Turning & Milling - Machine 6,30,0,611.0
Case 110,Turning & Milling - Machine 6,14,0,362.0
Case 110,Turning & Milling - Machine 6,36,0,686.0
Case 110,Turning & Milling - Machine 6,21,0,430.0
Case 110,Turning & Milling Q.C.,0,0,31.0
Case 110,Turning & Milling Q.C.,119,1,7.0
Case 110,Turning & Milling - Machine 6,5,0,1.0
Case 110,Turning & Milling - Machine 6,0,0,189.0
Case 110,Turning & Milling - Machine 6,1,0,266.0
Case 110,Turning & Milling - Machine 6,10,0,255.0
Case 110,Turning & Milling - Machine 6,32,0,466.0
Case 110,Turning & Milling - Machine 6,18,0,303.0
Case 110,Turning & Milling Q.C.,0,0,42.0
Case 110,Turning & Milling - Machine 6,15,0,268.0
Case 110,Turning & Milling - Machine 6,30,0,1314.0
Case 110,Turning & Milling - Machine 6,20,0,429.0
Case 110,Turning & Milling - Machine 6,17,0,554.0
Case 110,Turning & Milling Q.C.,0,0,44.0
Case 110,Turning & Milling Q.C.,82,0,75.0
Case 110,Turning & Milling - Machine 6,13,0,241.0
Case 110,Turning & Milling Q.C.,0,3,8.0
Case 110,Turning & Milling Q.C.,36,0,75.0
Case 110,Turning & Milling Q.C.,0,3,5.0
Case 110,Turning & Milling - Machine 6,4,0,457.0
Case 110,Turning & Milling Q.C.,0,0,94.0
Case 110,Turning & Milling - Machine 6,19,0,336.0
Case 110,Turning & Milling - Machine 6,36,0,1326.0
Case 110,Turning & Milling - Machine 6,14,0,152.0
Case 110,Laser Marking - Machine 7,141,0,217.0
Case 110,Flat Grinding - Machine 11,20,0,79.0
Case 110,Laser Marking - Machine 7,0,0,63.0
Case 110,Turning & Milling Q.C.,0,0,172.0
Case 110,Flat Grinding - Machine 11,91,0,297.0
Case 110,Lapping - Machine 1,20,0,132.0
Case 110,Turning & Milling Q.C.,72,0,75.0
Case 110,Turning & Milling Q.C.,0,1,56.0
Case 110,Turning & Milling - Machine 6,1,0,258.0
Case 110,Turning & Milling Q.C.,0,0,16.0
Case 110,Turning & Milling - Machine 6,3,0,99.0
Case 110,Lapping - Machine 1,0,0,138.0
Case 110,Lapping - Machine 1,80,0,160.0
Case 110,Flat Grinding - Machine 11,30,0,75.0
Case 110,Turning & Milling - Machine 6,20,0,420.0
Case 110,Lapping - Machine 1,0,0,75.0
Case 110,Turning & Milling Q.C.,0,0,21.0
Case 110,Turning & Milling - Machine 6,20,0,330.0
Case 110,Lapping - Machine 1,41,0,1.0
Case 110,Turning & Milling - Machine 6,21,0,601.0
Case 110,Turning & Milling - Machine 6,50,0,1405.0
Case 110,Turning & Milling - Machine 6,10,0,284.0
Case 110,Lapping - Machine 1,0,0,75.0
Case 110,Laser Marking - Machine 7,96,0,13.0
Case 110,Lapping - Machine 1,0,0,75.0
Case 110,Turning & Milling Q.C.,148,0,1.0
Case 110,Round Grinding - Machine 3,0,0,48.0
Case 110,Round Grinding - Machine 3,15,0,104.0
Case 110,Round Grinding - Machine 3,39,0,251.0
Case 110,Round Grinding - Machine 3,83,0,557.0
Case 110,Packing,30,0,60.0
Case 110,Packing,60,0,60.0
Case 110,Round Grinding - Machine 3,15,0,80.0
Case 110,Round Grinding - Machine 3,22,0,179.0
Case 110,Flat Grinding - Machine 11,96,0,1.0
Case 110,Lapping - Machine 1,96,0,75.0
Case 110,Final Inspection Q.C.,90,0,69.0
Case 110,Round Grinding - Machine 3,45,0,304.0
Case 110,Round Grinding - Machine 3,18,0,114.0
Case 110,Packing,140,0,60.0
Case 110,Final Inspection Q.C.,140,0,187.0
Case 111,Turning - Machine 4,1,0,183.0
Case 111,Turning - Machine 4,55,0,386.0
Case 111,Turning - Machine 4,83,0,540.0
Case 111,Turning - Machine 4,34,0,208.0
Case 111,Turning - Machine 4,100,0,661.0
Case 111,Turning - Machine 4,27,0,241.0
Case 111,Turning Q.C.,300,0,75.0
Case 111,Turning & Milling - Machine 4,1,0,396.0
Case 111,Turning & Milling - Machine 4,46,0,660.0
Case 111,Turning & Milling - Machine 4,20,0,341.0
Case 111,Turning - Machine 4,0,0,332.0
Case 111,Turning - Machine 4,0,0,562.0
Case 111,Turning & Milling - Machine 4,65,0,121.0
Case 111,Turning & Milling - Machine 4,25,0,473.0
Case 111,Turning & Milling - Machine 4,53,0,506.0
Case 111,Turning & Milling - Machine 4,63,0,649.0
Case 111,Turning & Milling Q.C.,209,4,121.0
Case 111,Laser Marking - Machine 7,50,0,18.0
Case 111,Laser Marking - Machine 7,159,0,101.0
Case 111,Turning & Milling - Machine 4,0,0,421.0
Case 111,Turning & Milling Q.C.,0,0,35.0
Case 111,Turning & Milling Q.C.,87,0,239.0
Case 111,Turning & Milling - Machine 4,27,0,1200.0
Case 111,Laser Marking - Machine 7,87,0,136.0
Case 112,Turning & Milling - Machine 9,0,0,38.0
Case 112,Turning & Milling - Machine 9,1,0,227.0
Case 112,Turning & Milling - Machine 9,3,0,102.0
Case 112,Turning & Milling Q.C.,0,3,100.0
Case 112,Turning & Milling - Machine 9,0,0,47.0
Case 112,Turning & Milling - Machine 9,3,0,259.0
Case 112,Turning & Milling - Machine 9,3,0,101.0
Case 112,Turning & Milling - Machine 9,45,0,605.0
Case 112,Turning & Milling - Machine 9,1,0,81.0
Case 112,Turning & Milling - Machine 9,39,0,458.0
Case 112,Turning & Milling - Machine 9,25,0,583.0
Case 112,Turning & Milling - Machine 9,10,0,212.0
Case 112,Turning & Milling Q.C.,0,3,33.0
Case 112,Turning & Milling Q.C.,106,8,33.0
Case 112,Laser Marking - Machine 7,106,0,133.0
Case 112,Lapping - Machine 1,106,0,147.0
Case 112,Turning & Milling - Machine 10,1,0,161.0
Case 112,Turning & Milling - Machine 10,10,0,171.0
Case 112,Turning & Milling - Machine 10,20,0,214.0
Case 112,Turning & Milling - Machine 10,44,0,553.0
Case 112,Turning & Milling - Machine 10,21,0,570.0
Case 112,Turning & Milling - Machine 10,26,0,632.0
Case 112,Final Inspection Q.C.,0,0,120.0
Case 112,Final Inspection Q.C.,106,0,33.0
Case 112,Turning & Milling - Machine 10,15,0,359.0
Case 112,Packing,106,0,60.0
Case 112,Packing,0,0,60.0
Case 112,Turning & Milling Q.C.,139,0,89.0
Case 112,Laser Marking - Machine 7,139,0,151.0
Case 112,Turning & Milling - Machine 10,9,0,132.0
Case 112,Turning & Milling - Machine 10,23,0,543.0
Case 112,Grinding Rework,0,0,60.0
Case 112,Grinding Rework,0,0,200.0
Case 112,Lapping - Machine 1,139,0,273.0
Case 112,Final Inspection Q.C.,0,0,374.0
Case 112,Packing,139,0,60.0
Case 112,Final Inspection Q.C.,139,0,34.0
Case 113,SETUP     Turning & Milling - Machine 5,0,0,220.0
Case 113,Turning & Milling - Machine 5,28,0,530.0
Case 113,Turning & Milling Q.C.,28,0,241.0
Case 113,Laser Marking - Machine 7,28,0,24.0
Case 114,Turning & Milling - Machine 6,1,0,290.0
Case 114,Turning & Milling Q.C.,0,0,83.0
Case 114,Turning & Milling - Machine 6,0,0,51.0
Case 114,Turning & Milling - Machine 6,19,0,452.0
Case 114,Turning & Milling Q.C.,19,0,75.0
Case 114,Turning & Milling Q.C.,0,1,1.0
Case 114,Turning & Milling Q.C.,0,0,8.0
Case 115,Turning & Milling - Machine 4,0,0,380.0
Case 115,Turning & Milling - Machine 4,50,0,384.0
Case 115,Turning & Milling - Machine 4,12,0,96.0
Case 115,Turning & Milling - Machine 4,0,0,73.0
Case 115,Turning & Milling - Machine 4,28,0,239.0
Case 115,Turning & Milling Q.C.,0,0,90.0
Case 115,Turning & Milling Q.C.,90,0,50.0
Case 115,Flat Grinding - Machine 11,48,0,66.0
Case 115,Flat Grinding - Machine 11,0,0,75.0
Case 115,Flat Grinding - Machine 11,42,0,72.0
Case 115,Turning & Milling Q.C.,0,0,60.0
Case 115,Lapping - Machine 1,90,0,88.0
Case 115,Round Grinding - Machine 2,0,0,128.0
Case 115,Round Grinding - Machine 2,6,0,60.0
Case 115,Round Grinding - Machine 2,36,0,429.0
Case 115,Round Grinding - Q.C.,0,0,51.0
Case 115,Round Grinding - Machine 2,43,0,525.0
Case 115,Round Grinding - Machine 2,5,0,58.0
Case 115,Round Grinding - Machine 2,0,0,70.0
Case 115,Round Grinding - Q.C.,87,3,103.0
Case 115,Laser Marking - Machine 7,87,0,103.0
Case 115,Final Inspection Q.C.,87,0,60.0
Case 115,Packing,87,0,60.0
Case 116,Round Grinding - Manual,0,0,279.0
Case 116,Round Grinding - Manual,25,0,308.0
Case 116,Round Grinding - Manual,27,0,179.0
Case 116,Packing,54,0,60.0
Case 116,Round Grinding - Manual,2,0,123.0
Case 116,Final Inspection Q.C.,54,0,60.0
Case 116,Round Grinding - Manual,30,0,402.0
Case 116,Round Grinding - Manual,30,0,482.0
Case 116,Round Grinding - Manual,42,0,449.0
Case 116,Round Grinding - Manual,0,0,81.0
Case 116,Packing,97,0,60.0
Case 116,Final Inspection Q.C.,97,5,59.0
Case 117,Packing,1,0,60.0
Case 117,Packing,2,0,60.0
Case 117,Final Inspection - Weighting,3,0,75.0
Case 118,Turning & Milling - Machine 6,0,0,75.0
Case 118,Turning & Milling - Machine 6,1,0,121.0
Case 118,Turning & Milling - Machine 6,9,0,197.0
Case 118,Turning & Milling Q.C.,9,1,83.0
Case 119,Turning & Milling - Machine 10,0,0,525.0
Case 119,Turning & Milling - Machine 10,0,0,55.0
Case 119,Turning & Milling - Machine 10,1,0,630.0
Case 119,Turning & Milling - Machine 10,2,0,335.0
Case 119,Turning & Milling - Machine 10,7,0,626.0
Case 119,Turning & Milling - Machine 10,6,0,570.0
Case 119,Turning & Milling - Machine 10,6,0,570.0
Case 119,Turning & Milling - Machine 10,1,0,405.0
Case 119,Turning & Milling - Machine 10,7,0,617.0
Case 119,Turning & Milling - Machine 10,4,0,568.0
Case 119,Turning & Milling - Machine 10,6,0,600.0
Case 12,Turning - Machine 9,0,0,262.0
Case 12,Turning - Machine 9,1,0,112.0
Case 12,Turning Q.C.,0,0,46.0
Case 12,Turning - Machine 9,7,0,509.0
Case 12,Turning - Machine 9,14,0,587.0
Case 12,Turning - Machine 9,15,0,347.0
Case 12,Turning - Machine 9,13,0,412.0
Case 12,Turning - Machine 9,14,0,348.0
Case 12,Turning - Machine 9,0,0,105.0
Case 12,Turning - Machine 9,5,0,164.0
Case 12,Turning Q.C.,69,0,75.0
Case 12,Turning & Milling - Machine 9,69,0,75.0
Case 12,Lapping - Machine 1,69,0,120.0
Case 12,Flat Grinding - Machine 11,0,0,75.0
Case 12,Flat Grinding - Machine 11,30,0,167.0
Case 12,Laser Marking - Machine 7,25,0,60.0
Case 12,Flat Grinding - Machine 11,0,0,75.0
Case 12,Flat Grinding - Machine 11,0,0,75.0
Case 12,Final Inspection Q.C.,0,0,143.0
Case 12,Laser Marking - Machine 7,44,0,170.0
Case 12,Flat Grinding - Machine 11,9,0,1.0
Case 12,Flat Grinding - Machine 11,30,0,111.0
Case 12,Final Inspection Q.C.,0,0,120.0
Case 12,Final Inspection Q.C.,0,0,103.0
Case 12,Final Inspection Q.C.,69,0,1.0
Case 12,Packing,69,0,60.0
Case 120,Turning & Milling - Machine 5,4,0,289.0
Case 120,Turning & Milling - Machine 5,1,0,428.0
Case 120,Turning & Milling - Machine 5,0,0,377.0
Case 120,Turning & Milling Q.C.,4,1,62.0
Case 120,Laser Marking - Machine 7,4,0,69.0
Case 120,Lapping - Machine 1,4,0,79.0
Case 120,Round Grinding - Machine 12,0,0,206.0
Case 120,Round Grinding - Machine 12,0,0,100.0
Case 120,Round Grinding - Machine 3,0,0,211.0
Case 120,Round Grinding - Machine 3,0,0,8.0
Case 120,Round Grinding - Machine 3,4,0,165.0
Case 120,Final Inspection Q.C.,0,4,75.0
Case 121,Turning & Milling - Machine 5,1,0,119.0
Case 121,Turning & Milling - Machine 5,11,0,181.0
Case 121,Turning Q.C.,12,0,75.0
Case 121,Turning & Milling - Machine 5,0,0,206.0
Case 121,Turning Q.C.,11,0,60.0
Case 121,Turning & Milling - Machine 4,0,0,234.0
Case 121,Turning & Milling - Machine 4,0,0,75.0
Case 121,Turning & Milling - Machine 4,0,0,119.0
Case 121,Turning & Milling - Machine 4,11,0,96.0
Case 121,Turning & Milling Q.C.,11,0,38.0
Case 121,Laser Marking - Machine 7,11,0,24.0
Case 121,Deburring - Manual,11,0,1.0
Case 121,Flat Grinding - Machine 11,11,0,93.0
Case 121,Lapping - Machine 1,11,0,111.0
Case 121,Round Grinding - Machine 3,0,0,117.0
Case 121,Round Grinding - Machine 3,11,0,197.0
Case 121,Round Grinding - Q.C.,11,0,121.0
Case 121,Lapping - Machine 1,11,0,161.0
Case 121,Round Grinding - Machine 3,0,0,40.0
Case 121,Round Grinding - Machine 3,0,0,363.0
Case 122,Turning & Milling - Machine 5,1,0,163.0
Case 122,Turning & Milling - Machine 5,11,0,301.0
Case 122,Turning & Milling - Machine 5,1,0,321.0
Case 122,Turning & Milling - Machine 5,11,0,221.0
Case 122,Turning & Milling Q.C.,0,0,90.0
Case 122,Turning & Milling Q.C.,12,0,60.0
Case 122,Laser Marking - Machine 7,12,0,75.0
Case 122,Deburring - Manual,12,0,75.0
Case 122,Flat Grinding - Machine 11,12,0,75.0
Case 122,Lapping - Machine 1,12,0,66.0
Case 122,Round Grinding - Machine 2,0,0,145.0
Case 122,Round Grinding - Machine 2,12,0,225.0
Case 122,Round Grinding - Q.C.,0,0,230.0
Case 122,Round Grinding - Q.C.,12,0,44.0
Case 122,Lapping - Machine 1,0,0,75.0
Case 122,Lapping - Machine 1,12,0,105.0
Case 122,Round Grinding - Machine 2,0,0,114.0
Case 122,Round Grinding - Machine 2,1,0,95.0
Case 122,Round Grinding - Machine 2,11,0,239.0
Case 122,Final Inspection Q.C.,0,0,141.0
Case 122,Final Inspection Q.C.,0,0,100.0
Case 122,Laser Marking - Machine 7,0,0,90.0
Case 122,Grinding Rework - Machine 12,0,0,107.0
Case 122,Final Inspection Q.C.,0,0,100.0
Case 122,Final Inspection Q.C.,12,0,30.0
Case 122,Packing,12,0,60.0
Case 123,Turning & Milling - Machine 4,0,0,75.0
Case 123,Turning & Milling - Machine 4,0,0,150.0
Case 123,Turning & Milling - Machine 4,32,0,270.0
Case 123,Turning & Milling - Machine 4,0,0,80.0
Case 123,Turning & Milling - Machine 4,34,0,437.0
Case 123,Turning & Milling - Machine 4,1,0,338.0
Case 123,Turning & Milling - Machine 4,2,0,122.0
Case 123,Turning & Milling - Machine 4,1,0,76.0
Case 123,Turning & Milling - Machine 4,4,0,2.0
Case 123,Turning & Milling - Machine 4,25,0,336.0
Case 123,Turning & Milling Q.C.,0,4,61.0
Case 123,Turning & Milling - Machine 4,35,0,1328.0
Case 123,Turning & Milling - Machine 4,0,0,1.0
Case 123,Turning & Milling - Machine 4,12,0,89.0
Case 123,Turning & Milling - Machine 4,0,0,18.0
Case 123,Turning & Milling Q.C.,76,0,161.0
Case 123,Turning & Milling - Machine 4,10,0,1.0
Case 123,Turning & Milling - Machine 4,4,0,1.0
Case 123,Laser Marking - Machine 7,76,0,50.0
Case 124,Turning & Milling - Machine 4,1,0,455.0
Case 124,Turning & Milling - Machine 4,2,0,83.0
Case 124,Turning & Milling - Machine 4,0,0,115.0
Case 124,Turning & Milling - Machine 4,9,0,282.0
Case 124,Turning & Milling Q.C.,12,0,99.0
Case 124,Laser Marking - Machine 7,12,0,19.0
Case 124,Lapping - Machine 1,12,0,14.0
Case 124,Final Inspection Q.C.,0,0,105.0
Case 124,Final Inspection Q.C.,12,0,15.0
Case 124,Packing,12,0,60.0
Case 125,Turning & Milling - Machine 6,0,0,312.0
Case 125,Turning & Milling - Machine 6,1,0,356.0
Case 125,Turning & Milling Q.C.,0,0,158.0
Case 125,Turning & Milling - Machine 6,6,0,15.0
Case 125,Turning & Milling - Machine 6,5,0,44.0
Case 126,Turning & Milling - Machine 4,0,0,75.0
Case 126,Turning & Milling - Machine 4,2,0,624.0
Case 126,Turning & Milling - Machine 4,0,0,60.0
Case 126,Turning & Milling Q.C.,0,1,60.0
Case 126,Turning & Milling - Machine 4,8,0,196.0
Case 126,Turning & Milling Q.C.,9,0,38.0
Case 126,Laser Marking - Machine 7,9,0,1.0
Case 126,Lapping - Machine 1,0,0,75.0
Case 126,Lapping - Machine 1,0,0,56.0
Case 126,Lapping - Machine 1,9,0,47.0
Case 126,Round Grinding - Machine 12,0,0,45.0
Case 126,Round Grinding - Machine 12,0,0,52.0
Case 126,Round Grinding - Machine 12,9,0,156.0
Case 126,Final Inspection Q.C.,9,0,121.0
Case 126,Packing,9,0,60.0
Case 127,Turning & Milling - Machine 6,2,0,347.0
Case 127,Turning & Milling - Machine 6,4,0,45.0
Case 127,Turning & Milling - Machine 6,11,0,116.0
Case 127,Turning & Milling - Machine 6,61,0,634.0
Case 127,Turning & Milling Q.C.,0,0,64.0
Case 127,Turning & Milling - Machine 6,50,0,477.0
Case 127,Turning & Milling - Machine 6,35,0,240.0
Case 127,Turning & Milling - Machine 6,0,0,160.0
Case 127,Lapping - Machine 1,0,0,75.0
Case 127,Turning & Milling - Machine 6,18,0,347.0
Case 127,Turning & Milling Q.C.,0,0,34.0
Case 127,Turning & Milling - Machine 6,0,0,202.0
Case 127,Turning & Milling - Machine 6,19,0,324.0
Case 127,Turning & Milling Q.C.,181,0,75.0
Case 127,Lapping - Machine 1,100,0,97.0
Case 127,Turning & Milling - Machine 6,54,0,558.0
Case 127,Laser Marking - Machine 7,81,0,129.0
Case 127,Packing,80,0,60.0
Case 127,Turning & Milling - Machine 6,36,0,523.0
Case 127,Turning & Milling Q.C.,0,0,18.0
Case 127,Final Inspection Q.C.,0,0,75.0
