Case ID,Activity,Similar Case Count,Avg Qty Completed by Similar,Avg Qty Rejected by Similar,Avg Duration of Concurrent Cases,Active Resources Count,Total Qty Completed by Similar,Completion Time (minutes)
Case 10,Flat Grinding - Machine 11,0,,,,0,0,417.0
Case 10,Flat Grinding - Machine 11,0,,,,0,0,100.0
Case 10,Final Inspection Q.C.,0,,,,0,0,98.0
Case 10,Packing,2,10.0,0.0,60.0,1,20,60.0
Case 100,Turning & Milling - Machine 8,0,,,,0,0,48.0
Case 100,Turning & Milling - Machine 8,0,,,,0,0,240.0
Case 100,Turning & Milling - Machine 8,0,,,,0,0,258.0
Case 100,Turning & Milling - Machine 8,0,,,,0,0,64.0
Case 100,Turning & Milling Q.C.,0,,,,0,0,22.0
Case 100,Laser Marking - Machine 7,1,9.0,0.0,75.0,1,9,1.0
Case 100,Flat Grinding - Machine 11,0,,,,0,0,22.0
Case 100,Lapping - Machine 1,0,,,,0,0,32.0
Case 100,Round Grinding - Machine 3,0,,,,0,0,7.0
Case 100,Round Grinding - Machine 3,0,,,,0,0,271.0
Case 100,Grinding Rework - Machine 12,0,,,,0,0,70.0
Case 100,Final Inspection Q.C.,0,,,,0,0,165.0
Case 100,Packing,5,28.333333333333332,0.0,60.0,1,170,60.0
Case 100,Final Inspection Q.C.,0,,,,0,0,1.0
Case 101,Setup - Machine 8,0,,,,0,0,76.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,145.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,45.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,76.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,322.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,46.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,201.0
Case 101,Turning & Milling - Machine 8,0,,,,0,0,139.0
Case 101,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 101,Flat Grinding - Machine 11,0,,,,0,0,60.0
Case 101,Lapping - Machine 1,0,,,,0,0,100.0
Case 101,Round Grinding - Machine 12,0,,,,0,0,90.0
Case 101,Round Grinding - Machine 12,0,,,,0,0,420.0
Case 101,Final Inspection Q.C.,0,,,,0,0,281.0
Case 101,Lapping - Machine 1,0,,,,0,0,60.0
Case 101,Laser Marking - Machine 7,0,,,,0,0,14.0
Case 101,Packing,2,49.5,0.0,60.0,1,99,60.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,269.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,217.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,146.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,112.0
Case 102,Turning & Milling Q.C.,0,,,,0,0,50.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,104.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,241.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,181.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,213.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,295.0
Case 102,Turning & Milling Q.C.,0,,,,0,0,60.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,80.0
Case 102,Turning & Milling Q.C.,0,,,,0,0,32.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,29.0
Case 102,Turning & Milling - Machine 8,0,,,,0,0,104.0
Case 102,Turning & Milling Q.C.,0,,,,0,0,79.0
Case 102,Turning & Milling Q.C.,1,30.0,0.0,75.0,1,30,75.0
Case 102,Laser Marking - Machine 7,1,4.0,0.0,69.0,1,4,69.0
Case 102,Lapping - Machine 1,0,,,,0,0,75.0
Case 102,Lapping - Machine 1,0,,,,0,0,86.0
Case 102,Round Grinding - Manual,0,,,,0,0,35.0
Case 102,Round Grinding - Manual,0,,,,0,0,220.0
Case 102,Round Grinding - Machine 3,0,,,,0,0,66.0
Case 102,Round Grinding - Q.C.,0,,,,0,0,19.0
Case 102,Round Grinding - Machine 3,0,,,,0,0,2.0
Case 102,Round Grinding - Machine 3,0,,,,0,0,168.0
Case 102,Round Grinding - Q.C.,0,,,,0,0,57.0
Case 102,Final Inspection Q.C.,0,,,,0,0,180.0
Case 102,Final Inspection Q.C.,0,,,,0,0,6.0
Case 102,Packing,3,49.666666666666664,0.0,60.0,1,149,60.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,68.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,152.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,394.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,491.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,172.0
Case 103,Turning & Milling Q.C.,0,,,,0,0,186.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,175.0
Case 103,Turning & Milling Q.C.,0,,,,0,0,34.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,94.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,71.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,260.0
Case 103,Turning & Milling - Machine 8,0,,,,0,0,120.0
Case 103,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 103,Laser Marking - Machine 7,0,,,,0,0,52.0
Case 103,Flat Grinding - Machine 11,0,,,,0,0,37.0
Case 103,Final Inspection Q.C.,0,,,,0,0,230.0
Case 103,Final Inspection Q.C.,0,,,,0,0,217.0
Case 103,Final Inspection Q.C.,1,62.0,0.0,75.0,1,62,1.0
Case 103,Packing,3,71.33333333333333,0.0,60.0,1,214,60.0
Case 104,Turning & Milling - Machine 5,0,,,,0,0,343.0
Case 104,Turning & Milling - Machine 5,0,,,,0,0,254.0
Case 104,Turning & Milling - Machine 5,0,,,,0,0,247.0
Case 104,Turning & Milling Q.C.,0,,,,0,0,120.0
Case 104,Turning & Milling Q.C.,0,,,,0,0,46.0
Case 104,Laser Marking - Machine 7,0,,,,0,0,28.0
Case 105,Turning & Milling - Machine 4,0,,,,0,0,436.0
Case 105,Turning & Milling - Machine 4,0,,,,0,0,193.0
Case 106,Turning & Milling - Machine 8,0,,,,0,0,330.0
Case 106,Turning & Milling - Machine 8,0,,,,0,0,223.0
Case 106,Turning & Milling Q.C.,0,,,,0,0,28.0
Case 106,Laser Marking - Machine 7,1,9.0,0.0,102.0,1,9,73.0
Case 106,Flat Grinding - Machine 11,0,,,,0,0,38.0
Case 106,Final Inspection Q.C.,0,,,,0,0,150.0
Case 106,Packing,8,21.77777777777778,0.0,60.0,1,196,60.0
Case 106,Final Inspection Q.C.,0,,,,0,0,75.0
Case 107,Turning & Milling - Machine 10,0,,,,0,0,311.0
Case 108,Turning & Milling - Machine 4,0,,,,0,0,337.0
Case 108,Turning & Milling - Machine 4,0,,,,0,0,134.0
Case 108,Turning & Milling Q.C.,0,,,,0,0,100.0
Case 108,Turning & Milling - Machine 4,0,,,,0,0,205.0
Case 108,Turning & Milling Q.C.,0,,,,0,0,64.0
Case 108,Laser Marking - Machine 7,0,,,,0,0,75.0
Case 108,Flat Grinding - Machine 11,1,0.0,0.0,75.0,1,0,75.0
Case 108,Flat Grinding - Machine 11,0,,,,0,0,59.0
Case 108,Lapping - Machine 1,0,,,,0,0,75.0
Case 108,Lapping - Machine 1,0,,,,0,0,52.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,166.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,172.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,104.0
Case 108,Round Grinding - Machine 3,0,,,,0,0,213.0
Case 108,Final Inspection Q.C.,0,,,,0,0,292.0
Case 108,Packing,2,80.0,0.0,60.0,1,160,60.0
Case 108,Final Inspection Q.C.,0,,,,0,0,27.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,407.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,361.0
Case 109,Turning & Milling Q.C.,1,19.0,0.0,75.0,1,19,75.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,65.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,334.0
Case 109,Turning & Milling - Machine 4,0,,,,0,0,172.0
Case 109,Turning & Milling Q.C.,0,,,,0,0,81.0
Case 109,Turning & Milling Q.C.,0,,,,0,0,5.0
Case 109,Laser Marking - Machine 7,1,14.0,0.0,75.0,1,14,21.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,79.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,26.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,274.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,53.0
Case 109,Round Grinding - Machine 2,0,,,,0,0,154.0
Case 109,Final Inspection Q.C.,0,,,,0,0,205.0
Case 109,Packing,1,9.0,0.0,60.0,1,9,60.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,336.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,170.0
Case 11,Turning & Milling Q.C.,1,0.0,0.0,30.0,1,0,54.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,392.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,330.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,418.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,75.0
Case 11,Turning & Milling Q.C.,0,,,,0,0,98.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,75.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,80.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,335.0
Case 11,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 11,Turning & Milling - Machine 9,0,,,,0,0,81.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,419.0
Case 11,Turning & Milling - Machine 10,0,,,,0,0,193.0
Case 11,Laser Marking - Machine 7,0,,,,0,0,32.0
Case 11,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 11,Laser Marking - Machine 7,0,,,,0,0,85.0
Case 11,Packing,2,36.0,0.0,60.0,1,72,60.0
Case 11,Final Inspection Q.C.,0,,,,0,0,178.0
Case 11,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,166.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,339.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,60.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,189.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,611.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,362.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,686.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,430.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,31.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,7.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,1.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,189.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,266.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,255.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,466.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,303.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,42.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,268.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,1314.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,429.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,554.0
Case 110,Turning & Milling Q.C.,1,0.0,0.0,60.0,1,0,44.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,241.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,8.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,5.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,457.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,94.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,336.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,1326.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,152.0
Case 110,Laser Marking - Machine 7,0,,,,0,0,217.0
Case 110,Flat Grinding - Machine 11,0,,,,0,0,79.0
Case 110,Laser Marking - Machine 7,0,,,,0,0,63.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,172.0
Case 110,Flat Grinding - Machine 11,0,,,,0,0,297.0
Case 110,Lapping - Machine 1,0,,,,0,0,132.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,75.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,56.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,258.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,16.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,99.0
Case 110,Lapping - Machine 1,0,,,,0,0,138.0
Case 110,Lapping - Machine 1,0,,,,0,0,160.0
Case 110,Flat Grinding - Machine 11,0,,,,0,0,75.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,420.0
Case 110,Lapping - Machine 1,0,,,,0,0,75.0
Case 110,Turning & Milling Q.C.,0,,,,0,0,21.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,330.0
Case 110,Lapping - Machine 1,0,,,,0,0,1.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,601.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,1405.0
Case 110,Turning & Milling - Machine 6,0,,,,0,0,284.0
Case 110,Lapping - Machine 1,3,0.0,0.0,75.0,1,0,75.0
Case 110,Laser Marking - Machine 7,0,,,,0,0,13.0
Case 110,Lapping - Machine 1,2,0.0,0.0,75.0,1,0,75.0
Case 110,Turning & Milling Q.C.,1,225.0,0.0,301.0,1,225,1.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,48.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,104.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,251.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,557.0
Case 110,Packing,7,81.75,0.0,60.0,1,654,60.0
Case 110,Packing,7,81.75,0.0,60.0,1,654,60.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,80.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,179.0
Case 110,Flat Grinding - Machine 11,0,,,,0,0,1.0
Case 110,Lapping - Machine 1,0,,,,0,0,75.0
Case 110,Final Inspection Q.C.,0,,,,0,0,69.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,304.0
Case 110,Round Grinding - Machine 3,0,,,,0,0,114.0
Case 110,Packing,11,45.81818181818182,0.0,60.0,1,504,60.0
Case 110,Final Inspection Q.C.,1,5.0,0.0,20.0,1,5,187.0
Case 111,Turning - Machine 4,0,,,,0,0,183.0
Case 111,Turning - Machine 4,0,,,,0,0,386.0
Case 111,Turning - Machine 4,0,,,,0,0,540.0
Case 111,Turning - Machine 4,0,,,,0,0,208.0
Case 111,Turning - Machine 4,0,,,,0,0,661.0
Case 111,Turning - Machine 4,0,,,,0,0,241.0
Case 111,Turning Q.C.,0,,,,0,0,75.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,396.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,660.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,341.0
Case 111,Turning - Machine 4,0,,,,0,0,332.0
Case 111,Turning - Machine 4,0,,,,0,0,562.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,121.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,473.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,506.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,649.0
Case 111,Turning & Milling Q.C.,0,,,,0,0,121.0
Case 111,Laser Marking - Machine 7,0,,,,0,0,18.0
Case 111,Laser Marking - Machine 7,0,,,,0,0,101.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,421.0
Case 111,Turning & Milling Q.C.,0,,,,0,0,35.0
Case 111,Turning & Milling Q.C.,0,,,,0,0,239.0
Case 111,Turning & Milling - Machine 4,0,,,,0,0,1200.0
Case 111,Laser Marking - Machine 7,0,,,,0,0,136.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,38.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,227.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,102.0
Case 112,Turning & Milling Q.C.,0,,,,0,0,100.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,47.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,259.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,101.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,605.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,81.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,458.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,583.0
Case 112,Turning & Milling - Machine 9,0,,,,0,0,212.0
Case 112,Turning & Milling Q.C.,1,0.0,0.0,113.0,1,0,33.0
Case 112,Turning & Milling Q.C.,1,0.0,0.0,113.0,1,0,33.0
Case 112,Laser Marking - Machine 7,0,,,,0,0,133.0
Case 112,Lapping - Machine 1,0,,,,0,0,147.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,161.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,171.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,214.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,553.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,570.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,632.0
Case 112,Final Inspection Q.C.,0,,,,0,0,120.0
Case 112,Final Inspection Q.C.,0,,,,0,0,33.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,359.0
Case 112,Packing,5,16.4,0.0,60.0,1,82,60.0
Case 112,Packing,5,16.4,0.0,60.0,1,82,60.0
Case 112,Turning & Milling Q.C.,0,,,,0,0,89.0
Case 112,Laser Marking - Machine 7,0,,,,0,0,151.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,132.0
Case 112,Turning & Milling - Machine 10,0,,,,0,0,543.0
Case 112,Grinding Rework,0,,,,0,0,60.0
Case 112,Grinding Rework,0,,,,0,0,200.0
Case 112,Lapping - Machine 1,0,,,,0,0,273.0
Case 112,Final Inspection Q.C.,0,,,,0,0,374.0
Case 112,Packing,7,67.22222222222223,0.0,60.0,1,605,60.0
Case 112,Final Inspection Q.C.,1,0.0,0.0,230.0,1,0,34.0
Case 113,SETUP     Turning & Milling - Machine 5,0,,,,0,0,220.0
Case 113,Turning & Milling - Machine 5,0,,,,0,0,530.0
Case 113,Turning & Milling Q.C.,0,,,,0,0,241.0
Case 113,Laser Marking - Machine 7,1,11.0,0.0,24.0,1,11,24.0
Case 114,Turning & Milling - Machine 6,0,,,,0,0,290.0
Case 114,Turning & Milling Q.C.,1,0.0,0.0,24.0,1,0,83.0
Case 114,Turning & Milling - Machine 6,0,,,,0,0,51.0
Case 114,Turning & Milling - Machine 6,0,,,,0,0,452.0
Case 114,Turning & Milling Q.C.,1,49.0,0.0,75.0,1,49,75.0
Case 114,Turning & Milling Q.C.,0,,,,0,0,1.0
Case 114,Turning & Milling Q.C.,0,,,,0,0,8.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,380.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,384.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,96.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,73.0
Case 115,Turning & Milling - Machine 4,0,,,,0,0,239.0
Case 115,Turning & Milling Q.C.,0,,,,0,0,90.0
Case 115,Turning & Milling Q.C.,0,,,,0,0,50.0
Case 115,Flat Grinding - Machine 11,0,,,,0,0,66.0
Case 115,Flat Grinding - Machine 11,0,,,,0,0,75.0
Case 115,Flat Grinding - Machine 11,0,,,,0,0,72.0
Case 115,Turning & Milling Q.C.,1,0.0,0.0,44.0,1,0,60.0
Case 115,Lapping - Machine 1,0,,,,0,0,88.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,128.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,60.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,429.0
Case 115,Round Grinding - Q.C.,0,,,,0,0,51.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,525.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,58.0
Case 115,Round Grinding - Machine 2,0,,,,0,0,70.0
Case 115,Round Grinding - Q.C.,0,,,,0,0,103.0
Case 115,Laser Marking - Machine 7,0,,,,0,0,103.0
Case 115,Final Inspection Q.C.,1,0.0,0.0,230.0,1,0,60.0
Case 115,Packing,2,14.5,0.0,60.0,1,29,60.0
Case 116,Round Grinding - Manual,0,,,,0,0,279.0
Case 116,Round Grinding - Manual,0,,,,0,0,308.0
Case 116,Round Grinding - Manual,0,,,,0,0,179.0
Case 116,Packing,7,41.7,0.0,60.0,1,417,60.0
Case 116,Round Grinding - Manual,0,,,,0,0,123.0
Case 116,Final Inspection Q.C.,0,,,,0,0,60.0
Case 116,Round Grinding - Manual,0,,,,0,0,402.0
Case 116,Round Grinding - Manual,0,,,,0,0,482.0
Case 116,Round Grinding - Manual,0,,,,0,0,449.0
Case 116,Round Grinding - Manual,0,,,,0,0,81.0
Case 116,Packing,10,72.0,0.0,60.0,1,720,60.0
Case 116,Final Inspection Q.C.,1,0.0,0.0,90.0,1,0,59.0
Case 117,Packing,7,52.0,0.0,60.0,1,468,60.0
Case 117,Packing,7,52.0,0.0,60.0,1,468,60.0
Case 117,Final Inspection - Weighting,0,,,,0,0,75.0
Case 118,Turning & Milling - Machine 6,0,,,,0,0,75.0
Case 118,Turning & Milling - Machine 6,0,,,,0,0,121.0
Case 118,Turning & Milling - Machine 6,0,,,,0,0,197.0
Case 118,Turning & Milling Q.C.,0,,,,0,0,83.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,525.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,55.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,630.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,335.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,626.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,570.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,570.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,405.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,617.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,568.0
Case 119,Turning & Milling - Machine 10,0,,,,0,0,600.0
Case 12,Turning - Machine 9,0,,,,0,0,262.0
Case 12,Turning - Machine 9,0,,,,0,0,112.0
Case 12,Turning Q.C.,0,,,,0,0,46.0
Case 12,Turning - Machine 9,0,,,,0,0,509.0
Case 12,Turning - Machine 9,0,,,,0,0,587.0
Case 12,Turning - Machine 9,0,,,,0,0,347.0
Case 12,Turning - Machine 9,0,,,,0,0,412.0
Case 12,Turning - Machine 9,0,,,,0,0,348.0
Case 12,Turning - Machine 9,0,,,,0,0,105.0
Case 12,Turning - Machine 9,0,,,,0,0,164.0
Case 12,Turning Q.C.,0,,,,0,0,75.0
Case 12,Turning & Milling - Machine 9,0,,,,0,0,75.0
Case 12,Lapping - Machine 1,0,,,,0,0,120.0
Case 12,Flat Grinding - Machine 11,1,0.0,0.0,75.0,1,0,75.0
Case 12,Flat Grinding - Machine 11,0,,,,0,0,167.0
Case 12,Laser Marking - Machine 7,0,,,,0,0,60.0
Case 12,Flat Grinding - Machine 11,0,,,,0,0,75.0
Case 12,Flat Grinding - Machine 11,0,,,,0,0,75.0
Case 12,Final Inspection Q.C.,1,50.0,0.0,75.0,1,50,143.0
Case 12,Laser Marking - Machine 7,0,,,,0,0,170.0
Case 12,Flat Grinding - Machine 11,0,,,,0,0,1.0
Case 12,Flat Grinding - Machine 11,0,,,,0,0,111.0
Case 12,Final Inspection Q.C.,0,,,,0,0,120.0
Case 12,Final Inspection Q.C.,0,,,,0,0,103.0
Case 12,Final Inspection Q.C.,1,0.0,0.0,33.0,1,0,1.0
Case 12,Packing,5,61.833333333333336,0.0,60.0,1,371,60.0
Case 120,Turning & Milling - Machine 5,0,,,,0,0,289.0
Case 120,Turning & Milling - Machine 5,0,,,,0,0,428.0
Case 120,Turning & Milling - Machine 5,0,,,,0,0,377.0
Case 120,Turning & Milling Q.C.,0,,,,0,0,62.0
Case 120,Laser Marking - Machine 7,1,23.0,0.0,69.0,1,23,69.0
Case 120,Lapping - Machine 1,1,60.0,0.0,1.0,1,60,79.0
Case 120,Round Grinding - Machine 12,0,,,,0,0,206.0
Case 120,Round Grinding - Machine 12,0,,,,0,0,100.0
Case 120,Round Grinding - Machine 3,0,,,,0,0,211.0
Case 120,Round Grinding - Machine 3,0,,,,0,0,8.0
Case 120,Round Grinding - Machine 3,0,,,,0,0,165.0
Case 120,Final Inspection Q.C.,0,,,,0,0,75.0
Case 121,Turning & Milling - Machine 5,0,,,,0,0,119.0
Case 121,Turning & Milling - Machine 5,0,,,,0,0,181.0
Case 121,Turning Q.C.,0,,,,0,0,75.0
Case 121,Turning & Milling - Machine 5,0,,,,0,0,206.0
Case 121,Turning Q.C.,0,,,,0,0,60.0
Case 121,Turning & Milling - Machine 4,0,,,,0,0,234.0
Case 121,Turning & Milling - Machine 4,0,,,,0,0,75.0
Case 121,Turning & Milling - Machine 4,0,,,,0,0,119.0
Case 121,Turning & Milling - Machine 4,0,,,,0,0,96.0
