Case ID,Activity,Last Qty Completed,Last Qty Rejected,Completion Time (minutes),Similar Case Count,Avg Qty Completed by Similar,Avg Qty Rejected by Similar,Avg Duration of Concurrent Cases,Active Resources Count,Total Qty Completed by Similar,Completion Time (minutes)_KDE,Concurrent Case Count,Avg Qty Completed by Others,Avg Qty Rejected by Others,Avg Duration of Concurrent Cases_DDE,Active Resources Count_DDE,Total Qty Completed by Others,Completion Time (minutes)_DDE
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,119,1,7.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,42.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,0,44.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,82,0,75.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,0,3,8.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,0.0,0.0,60.0,1,0,44.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
Case 110,Turning & Milling Q.C.,36,0,75.0,1,225.0,0.0,301.0,1,225,1.0,1,225.0,0.0,301.0,1,225,1.0
Case 110,Turning & Milling Q.C.,0,3,5.0,1,0.0,0.0,60.0,1,0,44.0,2,10.0,0.0,306.5,2,20,44.0
Case 110,Turning & Milling Q.C.,0,3,5.0,1,0.0,0.0,60.0,1,0,44.0,2,17.5,0.0,233.5,2,35,75.0
Case 110,Turning & Milling Q.C.,0,3,5.0,1,0.0,0.0,60.0,1,0,44.0,1,0.0,0.0,2.0,1,0,8.0
Case 110,Turning & Milling Q.C.,0,3,5.0,1,0.0,0.0,60.0,1,0,44.0,4,25.25,0.25,259.0,4,101,75.0
Case 110,Turning & Milling Q.C.,0,3,5.0,1,0.0,0.0,60.0,1,0,44.0,1,70.0,0.0,91.0,1,70,5.0
Case 110,Turning & Milling Q.C.,0,3,5.0,1,0.0,0.0,60.0,1,0,44.0,3,21.333333333333332,0.0,164.66666666666666,3,64,94.0
Case 110,Turning & Milling Q.C.,0,3,5.0,1,0.0,0.0,60.0,1,0,44.0,3,11.333333333333334,0.0,256.6666666666667,3,34,21.0
